Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,Under 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,Over 75
10,10001,Avalon,72030,3425814000,2670,4470,4880,5600,5750,6110,6310,6800,6810,6620,6160,4340,5520
10,10002,Bonavista--Burin--Trinity,64920,2453784000,2330,3410,3100,3290,3790,4560,5520,6220,6620,7400,6840,4980,6870
10,10003,Coast of Bays--Central--Notre Dame,65130,2458068000,2270,3520,3340,3450,3850,4750,5700,6260,6670,6730,6470,4810,7320
10,10004,Labrador,20830,1169248000,930,1670,1980,1960,1870,1950,2190,2020,1790,1480,1240,820,940
10,10005,Long Range Mountains,77250,2914423000,2560,4360,4220,4110,4550,5400,6540,7660,8130,8390,7550,5480,8320
10,10006,St. John's East,66670,3668269000,2350,5180,5940,5830,5680,5780,5890,5890,5680,5070,4430,3510,5420
10,10007,St. John's South--Mount Pearl,66270,3086318000,2390,4900,5750,5720,5320,4930,5320,6290,6190,5800,4890,3600,5200
TOTAL,,,433100,19175924000,15490,27510,29220,29940,30810,33460,37440,41140,41900,41490,37560,27550,39590
11,11001,Cardigan,29970,1237610000,1350,2250,2040,2090,2230,2240,2460,2720,2810,2680,2630,1800,2690
11,11002,Charlottetown,29650,1192487000,1250,2710,2550,2170,2050,2070,2250,2430,2430,2550,2220,1710,3260
11,11003,Egmont,29310,1079972000,1450,2110,1940,1820,1930,2030,2310,2720,2800,2650,2500,1770,3280
11,11004,Malpeque,28880,1194581000,1500,2080,1850,1950,2040,2240,2370,2830,2830,2620,2360,1690,2540
TOTAL,,,117810,4704650000,5550,9150,8370,8020,8260,8580,9380,10690,10870,10500,9710,6970,11770
12,12001,Cape Breton--Canso,59950,2234171000,2200,3910,3360,3240,3440,3810,4390,5320,6100,6400,5960,4570,7280
12,12002,Central Nova,60040,2370409000,2230,3950,3680,3520,3880,4180,4530,5390,6050,5930,5690,4230,6780
12,12003,Cumberland--Colchester,66070,2418184000,2520,4470,4000,3940,4000,4550,5130,6150,6440,6360,5870,4650,8000
12,12004,Dartmouth--Cole Harbour,74670,3360261000,2480,5610,6140,5950,5790,5540,5720,7160,7320,6480,5410,3940,7130
12,12005,Halifax,72440,3582762000,2160,7580,9050,7100,5510,4750,4920,5530,5730,5490,4800,3340,6490
12,12006,Halifax West,75220,3719510000,2880,6090,6780,6660,6310,6430,6430,6950,6380,5310,4760,3760,6490
12,12007,Kings--Hants,67220,2632211000,2530,4770,4420,4230,4620,5010,5550,6470,6690,6260,5590,4100,6980
12,12008,Sackville--Preston--Chezzetcook,69410,3231041000,2900,5120,5320,5340,5830,6220,6390,7360,6770,5520,4730,3550,4370
12,12009,South Shore--St. Margarets,78020,3192345000,2790,4440,4310,4380,4670,5460,6210,7490,8120,7880,7460,5660,9170
12,12010,Sydney--Victoria,60190,2074518000,1980,4430,4140,3670,3530,3860,4310,5500,6150,6050,5380,4020,7170
12,12011,West Nova,70150,2465920000,2760,4320,4070,4110,4110,4620,5240,6770,7230,6580,6520,5080,8750
TOTAL,,,753400,31281331000,27420,54700,55280,52130,51690,54430,58800,70070,72970,68260,62170,46890,78600
13,13001,Acadie--Bathurst,68360,2408636000,2300,3730,3550,3600,4120,4810,5500,6750,7310,7230,6660,4880,7920
13,13002,Beauséjour,69250,2802172000,2630,3940,4060,4790,5240,5410,5490,6450,6810,6910,6130,4400,7010
13,13003,Fredericton,64650,2913354000,2480,5730,5870,5530,5190,5140,5150,5470,5210,4820,4460,3350,6240
13,13004,Fundy Royal,64050,2806496000,2820,4420,4010,4330,4820,5440,5480,6200,5920,5770,5430,3800,5610
13,13005,Madawaska--Restigouche,52220,1832242000,2100,2860,2870,2810,3180,3390,3830,5130,5900,5590,4960,3560,6050
13,13006,Miramichi--Grand Lake,48480,1614641000,1820,3050,2730,2610,2940,3450,3930,4610,4890,4880,4590,3310,5680
13,13007,Moncton--Riverview--Dieppe,75080,3066088000,2740,5940,6330,6240,5970,6160,5890,6320,6280,5880,5260,4130,7950
13,13008,New Brunswick Southwest,53530,2193562000,2120,3560,3490,3530,3830,4060,4410,5200,5310,5150,4510,3260,5100
13,13009,Saint John--Rothesay,64080,2708692000,2390,4930,4860,4740,4570,4820,5010,5990,6060,5530,4780,3620,6780
13,13010,Tobique--Mactaquac,55650,2068388000,2370,3710,3470,3700,3860,4350,4500,5210,5640,5380,4860,3290,5330
TOTAL,,,615360,24414271000,23780,41860,41230,41880,43720,47010,49170,57340,59320,57140,51650,37610,63660
24,24001,Abitibi--Baie-James--Nunavik--Eeyou,62830,2472070000,3450,5670,5890,5310,5160,5110,4990,5800,5970,4830,3830,2780,4060
24,24002,Abitibi--Témiscamingue,83840,3553223000,3730,6130,6230,6090,6260,5710,5980,7800,8780,7860,6380,4790,8090
24,24003,Ahuntsic-Cartierville,89820,3651245000,2780,6150,7190,8030,8640,7940,7390,7350,7110,6310,5320,4570,11040
24,24004,Alfred-Pellan,80660,3671183000,3310,6540,5460,5430,5900,6500,7060,8030,7970,6310,5130,4230,8790
24,24005,Argenteuil--La Petite-Nation,78070,3008332000,2700,4830,5100,5080,5200,5200,5820,7790,8560,8090,6940,5300,7470
24,24006,Avignon--La Mitis--Matane--Matapédia,60560,2004118000,2110,3510,3490,3490,3880,3710,3770,5420,6860,6790,5920,4410,7210
24,24007,Beauce,88070,3340556000,4070,6080,6230,6640,7280,6250,6240,7870,8500,7940,6900,5180,8900
24,24008,Beauport--Limoilou,77740,2895465000,2340,5280,6590,6680,6290,5100,4950,6440,7090,6630,6000,4920,9430
24,24009,Bécancour--Nicolet--Saurel,78150,2962666000,2700,4590,4780,4800,5570,4760,5200,6730,8090,8200,7220,5990,9510
24,24010,Bellechasse--Les Etchemins--Lévis,95240,3978108000,3830,6140,6290,6550,7240,6480,6510,8210,9240,8810,8120,6570,11240
24,24011,Beloeil--Chambly,93070,4730364000,3900,6380,6230,7370,9000,8130,7740,8820,8560,7210,6550,5260,7930
24,24012,Berthier--Maskinongé,86630,3128449000,3110,5180,5370,5690,6390,5620,6030,8270,9350,9000,7710,6110,8810
24,24013,Thérèse-De Blainville,81070,4276452000,4110,6680,5410,5080,6060,7330,7880,8550,7770,6010,4920,4200,7080
24,24014,Pierre-Boucher--Les Patriotes--Verchères,81490,4596476000,3420,5770,5330,5710,6650,6530,6860,7990,8080,7070,5970,4890,7200
24,24015,Bourassa,76510,2201845000,2500,5650,5840,5970,6530,6220,6530,6540,6240,5610,4970,4110,9790
24,24016,Brome--Missisquoi,86810,3686925000,3190,4780,4850,5220,5800,5680,5890,7720,8910,9290,8710,6900,9890
24,24017,Brossard--Saint-Lambert,87080,4502396000,3030,5760,5880,6250,7350,7070,6860,7170,7150,6880,6860,5980,10830
24,24018,Rimouski-Neigette--Témiscouata--Les Basques,71590,2706354000,2640,4430,4350,4310,4920,4430,4390,6100,7570,7790,6750,5050,8860
24,24019,Charlesbourg--Haute-Saint-Charles,86940,3795622000,3370,5470,6180,6690,7650,7030,6570,7420,7840,7030,6660,5810,9220
24,24020,Beauport--Côte-de-Beaupré--Île d’Orléans--Charlevoix,78450,3347711000,3390,4790,4720,5220,5990,5550,5770,7350,8220,7790,6700,5070,7880
24,24021,Châteauguay--Lacolle,80680,3228119000,3270,6060,6130,6460,7250,6680,6590,7530,7540,6220,5190,4290,7470
24,24022,Chicoutimi--Le Fjord,67730,2791741000,2320,4710,4800,4580,4870,4270,4010,5920,7210,6680,5710,4500,8160
24,24023,Compton--Stanstead,84090,3390685000,3810,5700,5530,6040,7150,6560,6580,7700,8030,7560,6810,5150,7480
24,24024,Dorval--Lachine--LaSalle,89220,3444489000,2910,6720,6870,7380,7800,7290,7310,8200,7720,6790,5860,4690,9690
24,24025,Drummond,83520,3059781000,3650,5630,5880,5980,7260,6270,6000,7240,7880,7480,6830,5280,8140
24,24026,Gaspésie--Les Îles-de-la-Madeleine,66600,2301317000,2290,3600,3460,3350,3910,4020,4590,6320,7510,7560,6650,4900,8460
24,24027,Gatineau,84100,3650914000,3210,6750,6730,6390,6580,6470,6830,8600,8440,6850,5690,4420,7150
24,24028,Hochelaga,84010,3117228000,1850,5900,9230,9380,9070,6640,5970,6500,6620,6030,4810,3910,8090
24,24029,Honoré-Mercier,82230,3126954000,2880,5860,5460,5580,6510,6670,6960,7280,7270,6230,5920,4860,10750
24,24030,Hull--Aylmer,78560,3671923000,2800,6100,6340,6510,6990,6650,6290,7290,7500,6300,5320,3800,6660
24,24031,Joliette,87230,3169174000,2950,5500,5370,5440,5830,5470,5730,7760,9300,9100,8070,6500,10210
24,24032,Jonquière,73300,3009821000,2680,4640,5100,5360,6040,5130,4770,6480,7900,7530,6060,4670,6940
24,24033,La Pointe-de-l'Île,85660,3261445000,2570,6110,6550,6640,7130,6450,6530,8090,8910,7710,5790,4570,8620
24,24034,La Prairie,86550,4300209000,3930,6780,5960,6240,8050,8480,8360,8980,8250,6270,5290,4220,5740
24,24035,Lac-Saint-Jean,86780,3206237000,3720,5500,5300,5820,6330,5490,5210,7970,9670,9040,7290,5720,9740
24,24036,Lac-Saint-Louis,85610,5153291000,4190,7380,5070,4450,5530,6410,7900,9200,8670,6790,5760,4640,9620
24,24037,LaSalle--Émard--Verdun,86460,3170405000,2130,5910,8540,9350,8610,6950,6290,6940,7220,6500,5410,4110,8510
24,24038,Laurentides--Labelle,97600,3790926000,3260,4900,4870,5190,5990,5840,6410,9220,11360,11360,10170,7970,11060
24,24039,Laurier--Sainte-Marie,92870,3960077000,1470,7620,14150,12990,10800,7710,6250,6520,6300,5600,4670,3300,5510
24,24040,Laval--Les Îles,84050,3668520000,3540,6260,5400,5810,7000,7930,8200,8370,7460,5800,5180,4460,8640
24,24041,Longueuil--Charles-LeMoyne,85100,2995761000,2710,6430,7470,7190,7570,6790,6250,7400,7780,6860,6010,5040,7600
24,24042,Lévis--Lotbinière,90990,4251414000,4530,6470,6560,7110,8460,7890,7340,8340,8520,7810,6880,4860,6220
24,24043,Longueuil--Saint-Hubert,87920,3881470000,2990,6420,6660,6510,7190,6830,6570,7810,8480,7500,6450,5370,9140
24,24044,Louis-Hébert,85460,4765180000,3070,7500,7210,5600,5700,4900,4980,6280,7560,7630,7050,6030,11970
24,24045,Louis-Saint-Laurent,94450,4414200000,4010,6550,7330,7640,8450,7600,7190,8620,8550,7490,6790,5780,8470
24,24046,Manicouagan,73830,3119627000,3020,4880,5040,5080,5550,5540,5900,7570,7880,6940,5420,4180,6840
24,24047,Mégantic--L'Érable,72950,2516821000,2950,4380,4170,4290,5010,4440,4580,6300,7440,7600,6950,5440,9420
24,24048,Mirabel,92340,4015025000,3980,6780,7790,8730,9980,8720,8340,8890,8360,6520,5410,3850,5000
24,24049,Montarville,77840,4375939000,3870,5890,4440,4730,6400,7210,7280,8070,7460,6130,5210,4590,6560
24,24050,Montcalm,85940,3376771000,3320,6410,7430,7350,8030,7290,7080,8340,8080,6730,5670,4330,5890
24,24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,80680,2896043000,3410,4780,4640,4810,5400,5150,5400,7000,8310,8280,7380,5870,10240
24,24052,Mount Royal,83620,4884794000,3380,6610,6270,6720,7670,7140,7000,6720,6110,5600,5400,4430,10580
24,24053,Notre-Dame-de-Grâce--Westmount,82370,5775578000,2970,6500,7070,7160,7230,6870,6700,6710,6260,5800,5560,4280,9280
24,24054,Outremont,66530,3488964000,2070,6500,7910,7300,6880,5690,4600,4400,4260,3940,3690,3020,6270
24,24055,Papineau,86100,2736834000,2030,6720,10270,10360,9530,7610,6570,6570,6160,5340,4420,3290,7240
24,24056,Pierrefonds--Dollard,86110,3919965000,3800,7260,5880,5700,6300,6660,7370,8220,7940,7190,6380,4780,8620
24,24057,Pontiac,88560,4177035000,3330,5870,6210,7160,8120,8000,7990,8910,8880,7770,6130,4450,5740
24,24058,Portneuf--Jacques-Cartier,92380,4458991000,3890,5840,6490,7540,8790,7520,7260,8600,9100,8210,6920,4870,7370
24,24059,Québec,79280,3309017000,1850,5010,7910,6970,6380,4910,4520,5740,6750,7180,6440,5210,10420
24,24060,Repentigny,94060,4253844000,3840,7080,6240,6340,7570,7450,7490,9030,9680,8160,6840,5540,8800
24,24061,Richmond--Arthabaska,87610,3221923000,3640,5670,5610,6120,6830,6030,5940,7500,8460,8450,7670,5840,9820
24,24062,Rivière-des-Mille-Îles,82490,3772855000,3780,6830,5620,5350,6500,6460,6960,8570,8510,6910,5680,4590,6730
24,24063,Rivière-du-Nord,91420,3548132000,3310,6540,7130,6810,7260,6680,7000,8560,8950,8050,6820,5600,8730
24,24064,Rosemont--La Petite-Patrie,86070,3574259000,1680,5460,10240,11470,10820,7790,6050,6510,6330,5590,4440,3140,6570
24,24065,Marc-Aurèle-Fortin,79610,3729798000,3630,6500,5250,5420,6790,7460,8100,8650,7990,6010,4440,3550,5820
24,24066,Saint-Hyacinthe--Bagot,84100,3156331000,3620,6030,6010,6020,6710,5890,6090,7490,8090,7460,6550,5260,8890
24,24067,Saint-Jean,89630,3711901000,3610,6510,6700,6720,7180,6720,6840,8320,8590,7760,6830,5210,8640
24,24068,Saint-Laurent,76510,3162287000,2810,5680,5680,7130,7610,7380,7060,6310,5550,4670,4380,3570,8670
24,24069,Saint-Léonard--Saint-Michel,86290,2608544000,2730,6040,6340,7040,8050,8080,7990,7340,6530,5410,5180,4310,11260
24,24070,Saint-Maurice--Champlain,90010,3162582000,2880,5250,5270,5450,5930,5250,5540,8010,10200,9890,8280,6550,11510
24,24071,Salaberry--Suroît,93470,3519931000,3430,6570,6920,6560,6950,6330,6720,8680,9490,8430,7460,6260,9690
24,24072,Shefford,91040,3523466000,3720,6100,6190,6430,7350,6450,6460,8520,9190,8490,7340,5690,9120
24,24073,Sherbrooke,89420,3288196000,3220,8060,8150,6870,6710,5700,5740,6890,7490,7480,6680,5590,10850
24,24074,Vaudreuil--Soulanges,92900,4663354000,4140,6520,5660,6400,8480,9110,8920,9600,8790,7370,6200,4630,7090
24,24075,Terrebonne,87380,3933249000,3950,6890,5950,6660,8360,8650,8070,8850,8380,6680,5340,4210,5390
24,24076,Trois-Rivières,91510,3525551000,3090,6810,6570,6020,6180,5340,5600,7560,8780,8530,7740,6580,12720
24,24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,104490,5723223000,2320,8980,13000,12110,9600,7030,6520,7410,7810,7390,6540,5310,10500
24,24078,Vimy,91130,3325914000,2720,6830,7340,7300,7300,6750,6880,7500,7590,6710,5880,5240,13090
TOTAL,,,6573000,2.79748E+11,246360,468550,494720,504680,547230,505040,502080,591250,618850,558800,484450,384360,666640
35,35001,Ajax,90790,4221309000,3850,8260,7580,7960,8480,8400,8300,9410,8340,6170,5000,3460,5600
35,35002,Algoma--Manitoulin--Kapuskasing,64770,2507490000,2360,3950,3750,3740,3520,3760,4430,5840,7120,6930,6460,4960,7960
35,35003,Aurora--Oak Ridges--Richmond Hill,89120,4862441000,4490,7720,6270,5620,6720,9090,10950,10330,8220,5810,4550,3330,6030
35,35004,Barrie--Innisfil,83840,3976105000,4060,7040,6410,6910,7150,7730,8220,8770,7160,5600,4580,3760,6450
35,35005,Barrie--Springwater--Oro-Medonte,75450,3580736000,3200,6810,6800,5940,5620,5350,5730,7080,7060,5910,4940,3730,7290
35,35006,Bay of Quinte,89410,3736761000,3090,6230,6300,6090,5770,5600,6140,8060,8520,8170,7650,6140,11670
35,35007,Beaches--East York,82890,4723208000,2460,5370,6140,7750,8550,8220,7850,8060,7350,6290,5000,3460,6400
35,35008,Brampton Centre,79460,2861108000,3190,7190,7280,7440,7150,6580,6710,7300,6780,5510,4720,3890,5740
35,35009,Brampton East,98720,3404889000,5310,10360,9710,9860,10190,10420,9410,8090,6740,5640,4950,3520,4530
35,35010,Brampton North,94190,3574486000,4540,9600,8860,8770,8340,8170,8090,8750,7730,6630,5610,3960,5140
35,35011,Brampton South,97820,3541779000,5240,10850,9480,9220,8900,8280,8000,8090,7360,6220,5370,3930,6890
35,35012,Brampton West,101500,3781263000,4970,9620,9680,11730,11890,11120,10020,8810,6900,5480,4430,3050,3820
35,35013,Brantford--Brant,97650,4119804000,3780,7420,7680,7930,7790,7610,7580,8710,8730,8080,7130,5270,9940
35,35014,Bruce--Grey--Owen Sound,84830,3539837000,3190,5590,5540,5260,5120,4870,5600,7330,8370,8550,8100,6090,11230
35,35015,Burlington,99120,6030904000,3760,6730,6620,6990,7030,7110,7690,8860,8830,7620,7330,6570,13970
35,35016,Cambridge,98320,4624612000,4310,7790,7820,7800,7710,8030,8270,9400,8820,7640,6630,5010,9090
35,35017,Chatham-Kent--Leamington,95550,3754109000,4040,6590,7080,7550,7710,7610,7500,8610,8630,7680,7030,5350,10170
35,35018,Davenport,83920,3533703000,1880,5530,9840,10950,9180,7290,6660,6700,6250,5250,4270,3310,6810
35,35019,Don Valley East,75250,3263866000,2370,5720,6290,6400,6320,6170,6570,6910,6190,5110,4620,3740,8850
35,35020,Don Valley North,91310,3923058000,2570,7880,9060,8150,7310,6980,7580,7650,6810,6130,5940,4780,10470
35,35021,Don Valley West,77550,8019372000,3440,5920,6160,6090,6250,6790,7660,7350,6360,5440,4810,3840,7440
35,35022,Dufferin--Caledon,102690,5573096000,5570,8670,7680,7620,8110,8720,10030,11040,9130,7210,6240,4800,7870
35,35023,Durham,101380,5289458000,4590,8530,7960,8760,9090,8670,8670,9910,8690,7230,6120,4800,8350
35,35024,Eglinton--Lawrence,89500,7162143000,3860,6820,7020,7220,7770,7680,8110,8050,7430,6470,5520,4110,9440
35,35025,Elgin--Middlesex--London,90850,4117156000,4260,6840,6200,6550,6640,7100,7250,8390,8650,7660,7030,5380,8920
35,35026,Essex,101850,5510361000,5030,7860,6610,6610,7460,8350,8970,9930,9500,8650,7650,5770,9480
35,35027,Etobicoke Centre,95220,5800370000,3460,7020,6930,6600,6430,6590,7770,9020,8990,7650,6420,4870,13470
35,35028,Etobicoke--Lakeshore,103600,6337927000,2600,6630,9500,10480,9550,8730,8320,9270,8950,7850,6630,4820,10280
35,35029,Etobicoke North,93340,2809879000,3960,9850,9340,8360,7650,7380,7810,8390,7520,6150,5230,4000,7720
35,35030,Flamborough--Glanbrook,83010,4478776000,4050,6490,6080,7050,7200,7090,7280,7880,7270,5930,5250,4160,7290
35,35031,Glengarry--Prescott--Russell,89440,4295800000,3600,6290,6120,6090,6080,6580,7290,9490,9330,8180,6830,5410,8170
35,35032,Guelph,102010,5073706000,4260,8620,9460,9220,8680,8400,8650,9000,8480,7120,5980,4630,9510
35,35033,Haldimand--Norfolk,93550,3957890000,3910,6890,6490,6230,5870,5990,6700,8600,9330,9160,8020,6160,10180
35,35034,Haliburton--Kawartha Lakes--Brock,93400,4074403000,3260,5820,5790,5630,5040,5170,6000,8280,9830,9790,9300,7200,12300
35,35035,Hamilton Centre,77020,2681784000,2190,6320,8180,8090,6390,5830,5790,6830,6640,6030,4930,3460,6350
35,35036,Hamilton East--Stoney Creek,85790,3476651000,2870,6230,6720,6760,6240,5990,6770,7870,7980,7060,6320,5020,9990
35,35037,Hamilton Mountain,83470,3283679000,3370,7430,7200,6720,5900,5830,6440,7800,7660,6510,5290,3940,9380
35,35038,Hamilton West--Ancaster--Dundas,88560,4847278000,4030,7920,6860,5820,5750,6290,7000,7990,7850,7180,6380,5030,10480
35,35039,Hastings--Lennox and Addington,78100,3207135000,2640,4950,4860,4940,4910,5230,5640,7220,8230,7910,7480,5560,8550
35,35040,Huron--Bruce,88380,4331066000,3960,6340,6320,6260,5740,5310,5500,7400,8550,8580,7940,5990,10500
35,35041,Kanata--Carleton,85640,5261189000,3770,6500,6010,6480,7130,7870,8620,8940,7990,6170,5390,3940,6820
35,35042,Kenora,45060,1697946000,1970,3830,4030,3640,3510,3280,3480,4090,4300,3850,3210,2180,3690
35,35043,King--Vaughan,102100,5979322000,5330,8660,7750,8180,9850,10600,11420,10930,8290,5990,4830,3470,6790
35,35044,Kingston and the Islands,90040,4376904000,3250,7370,8000,7380,6660,6070,6490,7740,7570,7140,6530,5240,10610
35,35045,Kitchener Centre,83150,3532460000,2670,6410,8530,8230,6760,6010,6240,7250,7000,6150,5200,3980,8730
35,35046,Kitchener--Conestoga,78600,4027959000,3980,6400,6270,7010,7220,7010,6940,7190,6440,5750,4720,3640,6030
35,35047,Kitchener South--Hespeler,81290,3844778000,3530,7180,7610,7810,7460,7400,7120,7260,6720,5660,4780,3400,5350
35,35048,Lambton--Kent--Middlesex,86210,3908724000,3990,6240,5530,5670,5700,5900,6420,7810,8610,8080,7000,5700,9580
35,35049,Lanark--Frontenac--Kingston,82160,3849074000,2880,5280,5120,5220,4850,5250,6090,7950,8550,8390,7540,5690,9340
35,35050,Leeds--Grenville--Thousand Islands and Rideau Lakes,81710,3677520000,3000,5250,4910,4750,4650,5340,6040,7730,8230,8210,7660,6000,9950
35,35051,London--Fanshawe,91620,3331623000,3470,8210,8100,8230,7310,6850,7200,8570,8660,7180,6030,4340,7510
35,35052,London North Centre,96950,4571327000,3430,10130,10180,8080,6970,6620,6970,8000,7950,6940,6070,4770,10840
35,35053,London West,99890,4990048000,3800,8090,7960,8180,7890,7500,7860,8430,8410,7970,7450,5730,10620
35,35054,Markham--Stouffville,96520,5168844000,3770,6890,6720,7950,9110,9680,9190,8740,7810,7020,6400,4860,8380
35,35055,Markham--Thornhill,84750,3417755000,2930,7140,8060,7330,5900,5830,6710,7950,7590,7470,6540,4380,6920
35,35056,Markham--Unionville,98800,4834529000,3980,8020,8020,7290,7640,9030,9960,9980,8680,7670,6390,4360,7780
35,35057,Milton,82150,4490002000,3540,5380,6080,8690,11100,10730,8440,6760,5390,4540,4200,3010,4320
35,35058,Mississauga Centre,101580,3912066000,3720,9470,10290,9640,8390,7690,8310,9320,8700,7530,6200,4470,7860
35,35059,Mississauga East--Cooksville,95820,3713512000,3420,7310,7680,7680,7570,7670,8240,9000,8550,7530,6470,5120,9590
35,35060,Mississauga--Erin Mills,96730,4460306000,4800,9760,7970,6980,7340,8570,9860,10150,8720,6690,5400,3940,6550
