,Prov/Terr,FED ID,Federal Electoral Districts_x,Total,Total Income,Under 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,Over 75,ï»¿Province,Party Won
227,35,35118.0,York Centre,85790,3553369000.0,2960,6870,7020,7470,7830,7330,7550,7830,7250,5800,5010,3530,9340,Ontario,Liberal
228,35,35119.0,York--Simcoe,81930,3904321000.0,3510,6440,6750,7190,6820,6740,7160,8470,7970,6200,5020,3620,6060,Ontario,Conservative
229,35,35120.0,York South--Weston,91260,3025039000.0,3040,7440,8020,8140,7880,7420,7930,9030,8240,6610,5130,3800,8590,Ontario,Liberal
230,35,35121.0,Humber River--Black Creek,86940,2416132000.0,3470,8950,8580,8060,7300,6790,7500,8010,7010,5460,4450,3520,7850,Ontario,Liberal
231,46,46001.0,Brandon--Souris,68540,2957304000.0,2910,5920,6400,6240,5720,5300,4770,5160,5590,5160,4580,3430,7360,Manitoba,Conservative
232,46,46002.0,Charleswood--St. James--Assiniboia--Headingley,65430,3398231000.0,2330,4870,4900,4980,4700,4780,4890,5670,5870,5420,4820,3970,8240,Manitoba,Liberal
233,46,46003.0,Churchill--Keewatinook Aski,56120,1426778000.0,2580,6940,6790,5790,5090,4970,5030,4800,4430,3400,2500,1690,2090,Manitoba,NDP
234,46,46004.0,Dauphin--Swan River--Neepawa,65930,2449575000.0,2860,4920,4830,4770,4680,4550,4560,5250,6000,5930,5150,4090,8350,Manitoba,Conservative
235,46,46005.0,Elmwood--Transcona,71790,2883052000.0,2720,5910,6810,7290,6840,6160,5600,6120,6060,5080,4260,2900,6040,Manitoba,NDP
236,46,46006.0,Kildonan--St. Paul,67890,3221055000.0,2690,5290,5060,4980,5130,5140,5180,5900,6220,5800,4890,3590,8030,Manitoba,Liberal
237,46,46007.0,Portage--Lisgar,69620,2816816000.0,3980,6460,6160,6000,5540,5390,5370,5780,5960,5080,4160,3220,6520,Manitoba,Conservative
238,46,46008.0,Provencher,76390,3269232000.0,4210,6820,6570,6840,6880,6340,6050,6750,6540,5680,4640,3420,5670,Manitoba,Conservative
239,46,46009.0,Saint Boniface--Saint Vital,71200,3497956000.0,2550,5620,6150,6150,5920,5790,5580,5910,5810,5370,4770,3770,7790,Manitoba,Liberal
240,46,46010.0,Selkirk--Interlake--Eastman,75550,3233295000.0,3150,5580,5020,4890,4600,5030,5610,7190,7660,7320,6390,4950,8160,Manitoba,Conservative
241,46,46011.0,Winnipeg Centre,69120,2200645000.0,2170,6360,7930,7710,6730,5640,5310,5790,5440,4550,3910,2610,4980,Manitoba,Liberal
242,46,46012.0,Winnipeg North,73320,2327103000.0,3300,7320,7160,7270,7140,6270,6160,6260,5940,5140,4270,2850,4260,Manitoba,Liberal
243,46,46013.0,Winnipeg South,80620,3824118000.0,4310,9850,7660,6830,6550,6550,6630,6770,6360,5670,4670,3340,5440,Manitoba,Liberal
244,46,46014.0,Winnipeg South Centre,73670,4441830000.0,2460,6130,7420,6910,5730,5270,5300,5570,5820,5530,4980,3770,8780,Manitoba,Liberal
245,47,47001.0,Battlefords--Lloydminster,55270,2392745000.0,2490,4860,5270,5380,4970,4140,3760,4490,4780,4330,3430,2470,4910,Saskatchewan,Conservative
246,47,47002.0,Cypress Hills--Grasslands,54780,2611154000.0,2750,4140,4180,4080,3880,3470,3460,4690,5450,5070,3960,2950,6720,Saskatchewan,Conservative
247,47,47003.0,Desnethé--Missinippi--Churchill River,48390,1361489000.0,2370,5640,5410,4570,4000,3870,3930,4080,3870,3350,2740,1790,2770,Saskatchewan,NDP
248,47,47004.0,Carlton Trail--Eagle Creek,58710,2819331000.0,2720,4360,5070,5680,5270,4860,4330,4880,5110,4760,3670,2710,5300,Saskatchewan,Conservative
249,47,47005.0,Moose Jaw--Lake Centre--Lanigan,60630,3027663000.0,2450,4380,4700,4830,4770,4390,4020,5030,5810,5810,4660,3220,6560,Saskatchewan,Conservative
250,47,47006.0,Prince Albert,64010,2720633000.0,2920,5450,5600,5240,4790,4520,4540,5230,5600,5140,4440,3410,7140,Saskatchewan,Conservative
251,47,47007.0,Regina--Lewvan,72160,4032015000.0,2770,5800,7660,8110,7220,6010,5330,5910,6050,5260,3900,2730,5420,Saskatchewan,NDP
252,47,47008.0,Regina--Qu'Appelle,56670,2456465000.0,2270,4670,5400,5550,5150,4590,4450,4720,4700,4280,3400,2530,4940,Saskatchewan,Conservative
253,47,47009.0,Regina--Wascana,67040,3687808000.0,2560,5850,6870,6560,5670,5130,4800,5400,5510,4790,3960,2900,7050,Saskatchewan,Liberal
254,47,47010.0,Saskatoon--Grasswood,67120,3782915000.0,2350,5720,7190,6880,5790,4900,4610,5320,5310,4850,3760,2870,7560,Saskatchewan,Conservative
255,47,47011.0,Saskatoon--University,62940,3594118000.0,2550,6260,7030,6390,5750,5140,4900,5110,4970,4400,3250,2280,4900,Saskatchewan,Conservative
256,47,47012.0,Saskatoon West,66310,2769759000.0,2490,5640,7420,7680,6670,5560,5340,5410,5420,4480,3440,2290,4460,Saskatchewan,NDP
257,47,47013.0,Souris--Moose Mountain,59100,3049144000.0,2570,4590,5030,5070,4980,4380,4210,4920,5300,4850,3850,2980,6370,Saskatchewan,Conservative
258,47,47014.0,Yorkton--Melville,55370,2371779000.0,2160,3800,3780,3850,4010,3750,3730,4540,5030,5040,4410,3420,7860,Saskatchewan,Conservative
259,48,48001.0,Banff--Airdrie,106530,6815209000.0,4330,8470,10770,12090,11730,10350,9170,8830,8710,7680,5640,3610,5150,Alberta,Conservative
260,48,48002.0,Battle River--Crowfoot,95550,4651508000.0,4610,7220,7180,7580,7200,6890,6850,8180,9060,8280,6930,5370,10220,Alberta,Conservative
261,48,48003.0,Bow River,87290,4372190000.0,4970,7000,7030,8030,8260,7990,7610,7600,7510,6550,5230,3630,5890,Alberta,Conservative
262,48,48004.0,Calgary Centre,95670,8468133000.0,1880,6180,14150,14450,10150,8080,7090,6750,6990,6090,4460,2990,6430,Alberta,Liberal
263,48,48005.0,Calgary Confederation,91090,6432139000.0,2390,6570,10540,11050,8990,7270,6780,6930,7370,6470,4750,3370,8620,Alberta,Conservative
264,48,48006.0,Calgary Forest Lawn,84780,3071705000.0,3100,7150,8040,8680,8270,7190,7270,7800,7690,6120,4810,3390,5290,Alberta,Conservative
265,48,48007.0,Calgary Heritage,87060,5575717000.0,3200,6470,7480,8080,7940,7820,7580,7510,7760,6540,5330,4020,7320,Alberta,Conservative
266,48,48008.0,Calgary Midnapore,96560,6020056000.0,4010,7640,8020,8690,8780,8720,8670,8950,8910,7210,5490,4000,7500,Alberta,Conservative
267,48,48009.0,Calgary Nose Hill,88930,4825103000.0,3720,7300,7580,7610,7630,7790,8500,8530,8250,7100,5350,3410,6180,Alberta,Conservative
268,48,48010.0,Calgary Rocky Ridge,98930,6300984000.0,4000,7680,8890,10630,10940,10460,9860,8900,7590,6580,4880,3140,5390,Alberta,Conservative
269,48,48011.0,Calgary Shepard,108380,6801903000.0,3750,7470,11090,14920,14250,11590,9860,9140,8380,6440,4550,2880,4060,Alberta,Conservative
270,48,48012.0,Calgary Signal Hill,89920,6915277000.0,3660,6420,6920,7910,8660,9250,9000,8460,8250,6420,4730,3400,6850,Alberta,Conservative
271,48,48013.0,Calgary Skyview,102640,3856584000.0,4510,9080,11370,13520,12880,11130,9130,7860,6700,5710,4370,2780,3580,Alberta,Liberal
272,48,48014.0,Edmonton Centre,85400,4786077000.0,1950,6860,10720,10530,8050,6520,6070,6540,6980,5930,4510,3080,7670,Alberta,Liberal
273,48,48015.0,Edmonton Griesbach,88410,3531081000.0,2580,7100,8750,8780,7800,6770,6950,7740,7860,6300,4860,3810,9120,Alberta,Conservative
274,48,48016.0,Edmonton Manning,91480,4347644000.0,3590,8280,10150,10310,9160,7730,7350,7750,7590,6280,4880,3220,5210,Alberta,Conservative
275,48,48017.0,Edmonton Mill Woods,90150,3949052000.0,3600,8210,10270,10700,9490,8290,6910,6780,6790,6420,4930,3080,4670,Alberta,Liberal
276,48,48018.0,Edmonton Riverbend,92410,6227539000.0,3450,7570,8760,9300,8880,7990,7980,7690,7170,6610,5310,3930,7780,Alberta,Conservative
277,48,48019.0,Edmonton Strathcona,79550,4565962000.0,2210,7280,10200,9120,7050,5500,5270,6010,6280,5600,4290,3040,7700,Alberta,NDP
278,48,48020.0,Edmonton West,92750,5077796000.0,3480,7360,9030,10280,9740,8470,7660,7610,7810,6620,4860,3190,6650,Alberta,Conservative
279,48,48021.0,Edmonton--Wetaskiwin,122460,6696541000.0,4420,9720,14270,16730,15200,12230,9810,9070,8450,7150,5470,3860,6090,Alberta,Conservative
280,48,48022.0,Foothills,82940,5424602000.0,3950,6040,5310,5860,6510,6740,6910,7440,8090,7410,6420,4840,7410,Alberta,Conservative
281,48,48023.0,Fort McMurray--Cold Lake,80090,6102508000.0,3060,6960,10720,11390,9460,7740,7220,7510,6460,4130,2170,1380,1900,Alberta,Conservative
282,48,48024.0,Grande Prairie--Mackenzie,88080,4887638000.0,3950,8100,10060,10690,9230,7920,6950,7380,7080,5530,3880,2630,4680,Alberta,Conservative
283,48,48025.0,Lakeland,86610,4298734000.0,4160,6890,7160,7630,7270,6930,6730,7590,7810,6940,5500,4220,7790,Alberta,Conservative
284,48,48026.0,Lethbridge,88810,4272705000.0,3960,7980,8700,8420,7460,6560,6170,6780,7310,6730,5830,4390,8530,Alberta,Conservative
285,48,48027.0,Medicine Hat--Cardston--Warner,82880,3760470000.0,4230,6450,6810,7180,6910,6130,5940,6640,7470,6970,5650,4190,8300,Alberta,Conservative
286,48,48028.0,Peace River--Westlock,80010,3686531000.0,4430,7350,7670,7490,6870,6480,6320,6830,6750,6040,4580,3420,5760,Alberta,Conservative
287,48,48029.0,Red Deer--Mountain View,85240,4628094000.0,3440,6550,7260,7690,7390,6860,6710,7240,7870,6960,5490,4170,7610,Alberta,Conservative
288,48,48030.0,Red Deer--Lacombe,91970,4724304000.0,3700,7680,8950,9970,8720,7500,6970,7790,8240,6960,5290,3720,6490,Alberta,Conservative
289,48,48031.0,St. Albert--Edmonton,91830,5505929000.0,3860,7420,8110,9100,8680,8110,7830,8020,7870,6840,5520,3940,6530,Alberta,Conservative
290,48,48032.0,Sherwood Park--Fort Saskatchewan,94320,6491414000.0,4070,7550,7890,8520,8250,8100,8290,8610,8680,7000,5970,4570,6860,Alberta,Conservative
291,48,48033.0,Sturgeon River--Parkland,100330,5898798000.0,4300,7980,8600,9590,9280,8400,8500,9250,9170,7970,6300,4470,6520,Alberta,Conservative
292,48,48034.0,Yellowhead,70090,3585129000.0,3160,5450,5930,6470,5840,5490,5480,6530,6970,5800,4440,3280,5280,Alberta,Conservative
293,59,59001.0,Abbotsford,80960,3352409000.0,3470,6750,6970,7130,6600,6130,6430,6410,6520,6080,5570,4260,8660,British Columba,Conservative
294,59,59002.0,Burnaby North--Seymour,82080,4311601000.0,3070,7360,6820,6410,6250,6580,7180,7440,7220,6470,5330,3890,8060,British Columba,Liberal
295,59,59003.0,Burnaby South,93990,3887715000.0,2780,8130,10110,9250,8050,7120,7670,8320,7710,6940,5790,4120,8020,British Columba,NDP
296,59,59004.0,Cariboo--Prince George,85130,3774654000.0,3580,7020,7270,6880,6350,6260,6840,7500,8140,7580,6330,4570,6810,British Columba,Conservative
297,59,59005.0,Central Okanagan--Similkameen--Nicola,94040,4206425000.0,2880,5670,6100,6370,5760,5580,6150,7420,8980,9220,9060,7020,13820,British Columba,Conservative
298,59,59006.0,Chilliwack--Hope,80380,3371568000.0,3340,5920,5840,6230,5680,5710,6220,6760,7140,6700,6360,5250,9250,British Columba,Conservative
299,59,59007.0,Cloverdale--Langley City,89930,4220377000.0,3550,6730,7760,9460,9390,8670,8070,7660,6970,6250,5240,3860,6340,British Columba,Liberal
300,59,59008.0,Coquitlam--Port Coquitlam,98420,4480687000.0,3860,7910,7850,8300,8470,8630,9860,10020,9280,7580,5810,3960,6890,British Columba,Liberal
301,59,59009.0,Courtenay--Alberni,98550,4181659000.0,2700,5090,5260,5630,5700,5520,5990,7560,9470,10760,11200,9040,14640,British Columba,NDP
302,59,59010.0,Cowichan--Malahat--Langford,88280,3955514000.0,2920,5580,6190,6880,6690,6300,6690,7940,8640,8380,7650,5470,8950,British Columba,NDP
303,59,59011.0,Delta,82960,4233894000.0,3690,6890,5630,5590,5710,6200,7090,7740,7710,6920,6350,5000,8450,British Columba,Liberal
304,59,59012.0,Fleetwood--Port Kells,92240,3613298000.0,4350,8830,7750,7560,7680,7790,8700,8820,8170,6870,5430,3790,6510,British Columba,Liberal
305,59,59013.0,Kamloops--Thompson--Cariboo,103080,4665716000.0,3580,7710,8190,7910,7060,6820,7730,8870,10070,9590,8540,6380,10650,British Columba,Conservative
306,59,59014.0,Kelowna--Lake Country,99320,5029356000.0,4010,8020,7950,8050,7240,7120,7750,8720,9240,8300,7270,5330,10330,British Columba,Liberal
307,59,59015.0,Kootenay--Columbia,91110,4173484000.0,3250,5660,6700,7280,7220,6730,6580,7510,8800,8810,7960,5550,9050,British Columba,NDP
308,59,59016.0,Langley--Aldergrove,93120,4855046000.0,3990,7160,7010,7510,7840,7610,8210,8430,8180,7270,6420,5000,8490,British Columba,Conservative
309,59,59017.0,Mission--Matsqui--Fraser Canyon,74940,2892669000.0,3090,5670,5890,6260,6170,5790,5870,6700,6990,6440,5600,4010,6450,British Columba,Liberal
310,59,59018.0,Nanaimo--Ladysmith,100770,4390505000.0,3060,6710,7060,7110,6630,6430,7140,8280,9370,9980,9400,7280,12320,British Columba,NDP
311,59,59019.0,New Westminster--Burnaby,92710,4018885000.0,2820,7060,8990,9340,8320,7360,8320,8600,8040,6900,5650,4030,7300,British Columba,NDP
312,59,59020.0,North Okanagan--Shuswap,106070,4539957000.0,3470,6280,6270,6720,6450,6360,7000,8950,10800,10940,10360,8040,14440,British Columba,Conservative
313,59,59021.0,North Vancouver,93510,5674070000.0,3430,6410,6840,7170,7740,8010,8870,9060,8700,7300,6160,4720,9120,British Columba,Liberal
314,59,59022.0,Pitt Meadows--Maple Ridge,79510,3885801000.0,3160,6030,5980,6610,6560,6550,7430,7880,7760,6160,5110,3670,6640,British Columba,Liberal
315,59,59023.0,Port Moody--Coquitlam,88280,4493241000.0,3370,7200,7190,7150,7170,7540,8590,8920,8170,6870,5300,3890,6920,British Columba,NDP
316,59,59024.0,Prince George--Peace River--Northern Rockies,83840,4293349000.0,3660,7310,8280,8470,7290,6600,6880,7520,7820,6570,4900,3360,5190,British Columba,Conservative
317,59,59025.0,Richmond Centre,84820,3345480000.0,2800,6930,7600,6520,5690,6100,7570,8350,7980,7250,6380,4040,7610,British Columba,Conservative
318,59,59026.0,Esquimalt--Saanich--Sooke,95480,4451869000.0,3010,6640,7430,7870,7930,7410,7690,8620,8920,8600,7340,5150,8880,British Columba,NDP
319,59,59027.0,Saanich--Gulf Islands,89630,4810525000.0,2970,5980,4960,4690,4870,5100,5960,6970,8150,9040,9310,7290,14330,British Columba,Green Party
320,59,59028.0,Skeena--Bulkley Valley,67340,2796688000.0,2720,5190,5530,5440,5020,5190,5510,6200,6700,6200,4910,3580,5160,British Columba,NDP
321,59,59029.0,South Okanagan--West Kootenay,102150,4293006000.0,3280,5390,5640,6280,6100,6150,6700,8100,10390,10920,10310,8020,14890,British Columba,NDP
322,59,59030.0,South Surrey--White Rock,85090,5136641000.0,2970,5230,4820,4870,5180,6180,7210,7530,7740,7680,7520,6290,11880,British Columba,Conservative
323,59,59031.0,Steveston--Richmond East,84850,3438807000.0,2980,6600,7160,6870,6450,6400,7560,8430,7820,7270,6150,4070,7100,British Columba,Liberal
324,59,59032.0,Surrey Centre,95710,2986847000.0,4140,9550,10050,9710,8740,7850,8040,8690,7930,6520,5170,3660,5660,British Columba,Liberal
325,59,59033.0,Surrey--Newton,90600,2968617000.0,4440,8900,8510,9330,8830,7960,7290,7070,6690,6160,5360,4020,6050,British Columba,Liberal
326,59,59034.0,Vancouver Centre,106840,7434918000.0,1340,6160,14730,15910,11270,7900,7470,7630,7260,7160,6500,4860,8650,British Columba,Liberal
327,59,59035.0,Vancouver East,95270,4169971000.0,1880,5610,11140,12170,9750,8070,8000,8140,7530,6350,5500,3440,7700,British Columba,NDP
328,59,59036.0,Vancouver Granville,86350,5765706000.0,2250,6120,9180,9360,7520,6710,7680,7710,6690,6100,5680,3780,7580,British Columba,Liberal
329,59,59037.0,North Island--Powell River,86570,3740499000.0,2810,4810,5080,5390,5400,5400,6000,7640,9180,9600,8890,6500,9870,British Columba,NDP
330,59,59038.0,Vancouver Kingsway,84860,3280998000.0,2820,7080,8950,8220,7470,7010,7130,7760,6850,6070,4950,3070,7490,British Columba,NDP
331,59,59039.0,Vancouver Quadra,81220,5992699000.0,3480,8500,7960,6570,5280,5780,7920,7420,5830,5490,5350,3900,7740,British Columba,Liberal
332,59,59040.0,Vancouver South,84510,3167996000.0,3330,7690,7710,6950,6520,6520,7070,7550,7150,6280,5680,3660,8400,British Columba,Liberal
333,59,59041.0,Victoria,96870,5269949000.0,2210,6840,8950,8530,7410,6440,6690,6930,7750,8360,8480,6220,12050,British Columba,NDP
334,59,59042.0,West Vancouver--Sunshine Coast--Sea to Sky Country,98850,6486246000.0,3380,7020,7570,7320,7140,7460,8110,8310,8520,8290,7990,6450,11290,British Columba,Liberal
335,60,60001.0,Yukon,28700,1570830000.0,1100,2010,2740,3010,2610,2410,2330,2610,2860,2500,1870,1240,1420,Yukon,Liberal
336,61,61001.0,Northwest Territories,31890,1890342000.0,1700,3120,3680,3520,3200,2730,2890,3050,2720,1990,1400,850,1040,Northwest Territories,Liberal
337,62,62001.0,Nunavut,21440,1039849000.0,1540,2760,3030,2620,2200,1920,2010,1710,1350,940,620,370,380,Nunavut,Liberal
