Federal Electoral Districts,No Certificate,Secondary School Diploma,Non-university certificate or diploma,University level or above,FED ID,,FED ID,Federal Electoral Districts,No Certificate,Secondary School Diploma,Non-university certificate or diploma,University level or above
Abbotsford,185130,330165,159070,163590,59001,837955,59001,Abbotsford,22%,39%,19%,20%
Abitibi--Baie-James--Nunavik--Eeyou,288160,139160,108530,78030,24001,613880,24001,Abitibi--Baie-James--Nunavik--Eeyou,47%,23%,18%,13%
Abitibi--Témiscamingue,251560,185480,151600,117850,24002,706490,24002,Abitibi--Témiscamingue,36%,26%,21%,17%
Acadie--Bathurst,236375,175355,158690,84845,13001,655265,13001,Acadie--Bathurst,36%,27%,24%,13%
Ahuntsic-Cartierville,170775,210520,185505,370480,24003,937280,24003,Ahuntsic-Cartierville,18%,22%,20%,40%
Ajax,163080,331720,277525,293870,35001,1066195,35001,Ajax,15%,31%,26%,28%
Alberta,6248895,10952410,7576605,9513095,48,34291005,48,Alberta,18%,32%,22%,28%
Alfred-Pellan,160685,211575,179600,206945,24004,758805,24004,Alfred-Pellan,21%,28%,24%,27%
Algoma--Manitoulin--Kapuskasing,188420,204130,184835,83680,35002,661065,35002,Algoma--Manitoulin--Kapuskasing,29%,31%,28%,13%
Argenteuil--La Petite-Nation,237895,215085,141670,100700,24005,695350,24005,Argenteuil--La Petite-Nation,34%,31%,20%,14%
Aurora--Oak Ridges--Richmond Hill,131710,251185,186065,457755,35003,1026715,35003,Aurora--Oak Ridges--Richmond Hill,13%,24%,18%,45%
Avalon,147840,203320,234910,116555,10001,702625,10001,Avalon,21%,29%,33%,17%
Avignon--La Mitis--Matane--Matapédia,175200,136300,111110,67070,24006,489680,24006,Avignon--La Mitis--Matane--Matapédia,36%,28%,23%,14%
Banff--Airdrie,157875,348035,293345,306030,48001,1105285,48001,Banff--Airdrie,14%,31%,27%,28%
Barrie--Innisfil,180930,322585,273355,172485,35004,949355,35004,Barrie--Innisfil,19%,34%,29%,18%
Barrie--Springwater--Oro-Medonte,157225,299940,269380,182060,35005,908605,35005,Barrie--Springwater--Oro-Medonte,17%,33%,30%,20%
Battle River--Crowfoot,197635,313025,206755,113120,48002,830535,48002,Battle River--Crowfoot,24%,38%,25%,14%
Battlefords--Lloydminster,160665,200200,128675,77410,47001,566950,47001,Battlefords--Lloydminster,28%,35%,23%,14%
Bay of Quinte,199765,329780,287385,139140,35006,956070,35006,Bay of Quinte,21%,34%,30%,15%
Beaches--East York,142865,242665,189720,430710,35007,1005960,35007,Beaches--East York,14%,24%,19%,43%
Beauce,243185,210475,167800,111230,24007,732690,24007,Beauce,33%,29%,23%,15%
Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,155560,185690,175620,138765,24020,655635,24020,Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,24%,28%,27%,21%
Beauport--Limoilou,163660,201975,191900,186120,24008,743655,24008,Beauport--Limoilou,22%,27%,26%,25%
Beauséjour,181060,200375,194125,131850,13002,707410,13002,Beauséjour,26%,28%,27%,19%
Bécancour--Nicolet--Saurel,212275,181105,167345,99115,24009,659840,24009,Bécancour--Nicolet--Saurel,32%,27%,25%,15%
Bellechasse--Les Etchemins--Lévis,195950,217220,214980,177035,24010,805185,24010,Bellechasse--Les Etchemins--Lévis,24%,27%,27%,22%
Beloeil--Chambly,159705,231170,226650,239570,24011,857095,24011,Beloeil--Chambly,19%,27%,26%,28%
Berthier--Maskinongé,241350,214100,159815,91055,24012,706320,24012,Berthier--Maskinongé,34%,30%,23%,13%
Bonavista--Burin--Trinity,211535,179555,165055,48270,10002,604415,10002,Bonavista--Burin--Trinity,35%,30%,27%,8%
Bourassa,256285,208620,135345,140010,24015,740260,24015,Bourassa,35%,28%,18%,19%
Bow River,247155,315080,196070,126425,48003,884730,48003,Bow River,28%,36%,22%,14%
Brampton Centre,187105,322670,205950,204745,35008,920470,35008,Brampton Centre,20%,35%,22%,22%
Brampton East,241405,350125,176810,313350,35009,1081690,35009,Brampton East,22%,32%,16%,29%
Brampton North,212530,360500,223940,280065,35010,1077035,35010,Brampton North,20%,33%,21%,26%
Brampton South,212555,338200,230240,324910,35011,1105905,35011,Brampton South,19%,31%,21%,29%
Brampton West,198420,354820,241725,339330,35012,1134295,35012,Brampton West,17%,31%,21%,30%
Brandon--Souris,161145,258090,165840,128605,46001,713680,46001,Brandon--Souris,23%,36%,23%,18%
Brantford--Brant,241140,389025,316435,180140,35013,1126740,35013,Brantford--Brant,21%,35%,28%,16%
British Columbia,6654995,13445690,8321340,11705460,59,40127485,59,British Columbia,17%,34%,21%,29%
Brome--Missisquoi,200795,229820,157885,163435,24016,751935,24016,Brome--Missisquoi,27%,31%,21%,22%
Brossard--Saint-Lambert,127200,201155,184470,365235,24017,878060,24017,Brossard--Saint-Lambert,14%,23%,21%,42%
Bruce--Grey--Owen Sound,224730,295275,250935,132160,35014,903100,35014,Bruce--Grey--Owen Sound,25%,33%,28%,15%
Burlington,140930,317135,295835,343835,35015,1097735,35015,Burlington,13%,29%,27%,31%
Burnaby North--Seymour,112470,295185,176055,341620,59002,925330,59002,Burnaby North--Seymour,12%,32%,19%,37%
Burnaby South,125675,306115,197425,434065,59003,1063280,59003,Burnaby South,12%,29%,19%,41%
Calgary Centre,91830,261745,191595,679395,48004,1224565,48004,Calgary Centre,7%,21%,16%,55%
Calgary Confederation,106505,261180,197725,586975,48005,1152385,48005,Calgary Confederation,9%,23%,17%,51%
Calgary Forest Lawn,276550,364140,183640,160595,48006,984925,48006,Calgary Forest Lawn,28%,37%,19%,16%
Calgary Heritage,117265,285680,207390,375940,48007,986275,48007,Calgary Heritage,12%,29%,21%,38%
Calgary Midnapore,136560,329125,240615,346700,48008,1053000,48008,Calgary Midnapore,13%,31%,23%,33%
Calgary Nose Hill,159710,309695,203900,358640,48009,1031945,48009,Calgary Nose Hill,15%,30%,20%,35%
Calgary Rocky Ridge,115000,276590,239225,519140,48010,1149955,48010,Calgary Rocky Ridge,10%,24%,21%,45%
Calgary Shepard,185005,391115,303140,383090,48011,1262350,48011,Calgary Shepard,15%,31%,24%,30%
Calgary Signal Hill,120535,261015,190980,493180,48012,1065710,48012,Calgary Signal Hill,11%,24%,18%,46%
Calgary Skyview,248520,399385,208100,322090,48013,1178095,48013,Calgary Skyview,21%,34%,18%,27%
Cambridge,231065,354395,257940,171775,35016,1015175,35016,Cambridge,23%,35%,25%,17%
Canada,57982895,89437480,67253915,82772625,1,297446915,1,Canada,19%,30%,23%,28%
Cape Breton--Canso,149405,166315,158810,98970,12001,573500,12001,Cape Breton--Canso,26%,29%,28%,17%
Cardigan,57490,91090,87360,68720,11001,304660,11001,Cardigan,19%,30%,29%,23%
Cariboo--Prince George,226980,350750,178430,143000,59004,899160,59004,Cariboo--Prince George,25%,39%,20%,16%
Carleton,101300,233860,228755,330940,35088,894855,35088,Carleton,11%,26%,26%,37%
Carlton Trail--Eagle Creek,143640,224960,145300,97360,47004,611260,47004,Carlton Trail--Eagle Creek,23%,37%,24%,16%
Central Nova,141810,173240,163850,113185,12002,592085,12002,Central Nova,24%,29%,28%,19%
Central Okanagan--Similkameen--Nicola,164450,324975,238510,166880,59005,894815,59005,Central Okanagan--Similkameen--Nicola,18%,36%,27%,19%
Charlesbourg--Haute-Saint-Charles,137400,220165,226830,197980,24019,782375,24019,Charlesbourg--Haute-Saint-Charles,18%,28%,29%,25%
Charleswood--St. James--Assiniboia--Headingley,105695,254145,164870,189735,46002,714445,46002,Charleswood--St. James--Assiniboia--Headingley,15%,36%,23%,27%
Charlottetown,49300,90655,82820,101810,11002,324585,11002,Charlottetown,15%,28%,26%,31%
Châteauguay--Lacolle,194235,239290,159245,114900,24021,707670,24021,Châteauguay--Lacolle,27%,34%,23%,16%
Chatham-Kent--Leamington,258400,302285,256740,118410,35017,935835,35017,Chatham-Kent--Leamington,28%,32%,27%,13%
Chicoutimi--Le Fjord,135765,149400,144445,142275,24022,571885,24022,Chicoutimi--Le Fjord,24%,26%,25%,25%
Chilliwack--Hope,173315,323580,171335,114235,59006,782465,59006,Chilliwack--Hope,22%,41%,22%,15%
Churchill--Keewatinook Aski,333760,176185,90500,64280,46003,664725,46003,Churchill--Keewatinook Aski,50%,27%,14%,10%
Cloverdale--Langley City,166465,375080,230475,219980,59007,992000,59007,Cloverdale--Langley City,17%,38%,23%,22%
Coast of Bays--Central--Notre Dame,221080,195165,163180,66185,10003,645610,10003,Coast of Bays--Central--Notre Dame,34%,30%,25%,10%
Compton--Stanstead,196115,209285,171735,161970,24023,739105,24023,Compton--Stanstead,27%,28%,23%,22%
Coquitlam--Port Coquitlam,144905,362220,232810,352215,59008,1092150,59008,Coquitlam--Port Coquitlam,13%,33%,21%,32%
Courtenay--Alberni,182445,322880,231775,175195,59009,912295,59009,Courtenay--Alberni,20%,35%,25%,19%
Cowichan--Malahat--Langford,168485,320940,218855,172810,59010,881090,59010,Cowichan--Malahat--Langford,19%,36%,25%,20%
Cumberland--Colchester,163985,218535,182315,112210,12003,677045,12003,Cumberland--Colchester,24%,32%,27%,17%
Cypress Hills--Grasslands,122795,201835,118790,74310,47002,517730,47002,Cypress Hills--Grasslands,24%,39%,23%,14%
Dartmouth--Cole Harbour,133760,244470,213720,236060,12004,828010,12004,Dartmouth--Cole Harbour,16%,30%,26%,29%
Dauphin--Swan River--Neepawa,227670,226825,141600,76220,46004,672315,46004,Dauphin--Swan River--Neepawa,34%,34%,21%,11%
Davenport,245640,269785,182220,399755,35018,1097400,35018,Davenport,22%,25%,17%,36%
Delta,144270,316945,186185,229060,59011,876460,59011,Delta,16%,36%,21%,26%
Desnethé--Missinippi--Churchill River,255450,151210,79095,50055,47003,535810,47003,Desnethé--Missinippi--Churchill River,48%,28%,15%,9%
Don Valley East,137820,237700,165060,312705,35019,853285,35019,Don Valley East,16%,28%,19%,37%
Don Valley North,112470,241010,171500,521355,35020,1046335,35020,Don Valley North,11%,23%,16%,50%
Don Valley West,102020,188485,119355,524695,35021,934555,35021,Don Valley West,11%,20%,13%,56%
Dorval--Lachine--LaSalle,195970,269040,189795,260980,24024,915785,24024,Dorval--Lachine--LaSalle,21%,29%,21%,28%
Drummond,225250,212405,177070,109215,24025,723940,24025,Drummond,31%,29%,24%,15%
Dufferin--Caledon,205790,377060,297260,238830,35022,1118940,35022,Dufferin--Caledon,18%,34%,27%,21%
Durham,187580,360200,360950,229900,35023,1138630,35023,Durham,16%,32%,32%,20%
Edmonton Centre,147770,298245,198560,393735,48014,1038310,48014,Edmonton Centre,14%,29%,19%,38%
Edmonton Griesbach,256065,330450,196560,163770,48015,946845,48015,Edmonton Griesbach,27%,35%,21%,17%
Edmonton Manning,218140,373450,236005,201845,48016,1029440,48016,Edmonton Manning,21%,36%,23%,20%
Edmonton Mill Woods,183275,352520,211150,263275,48017,1010220,48017,Edmonton Mill Woods,18%,35%,21%,26%
Edmonton Riverbend,109265,261265,197420,498505,48018,1066455,48018,Edmonton Riverbend,10%,24%,19%,47%
Edmonton Strathcona,107950,272895,177625,442430,48019,1000900,48019,Edmonton Strathcona,11%,27%,18%,44%
Edmonton West,166775,333330,228220,312010,48020,1040335,48020,Edmonton West,16%,32%,22%,30%
Edmonton--Wetaskiwin,215415,424320,304935,356610,48021,1301280,48021,Edmonton--Wetaskiwin,17%,33%,23%,27%
Eglinton--Lawrence,143165,237285,149250,489015,35024,1018715,35024,Eglinton--Lawrence,14%,23%,15%,48%
Egmont,81245,101945,71375,37165,11003,291730,11003,Egmont,28%,35%,24%,13%
Elgin--Middlesex--London,234015,312405,289780,140485,35025,976685,35025,Elgin--Middlesex--London,24%,32%,30%,14%
Elmwood--Transcona,162160,311140,180480,152690,46005,806470,46005,Elmwood--Transcona,20%,39%,22%,19%
Esquimalt--Saanich--Sooke,163400,362975,253920,260825,59026,1041120,59026,Esquimalt--Saanich--Sooke,16%,35%,24%,25%
Essex,182130,355170,293365,237935,35026,1068600,35026,Essex,17%,33%,27%,22%
Etobicoke Centre,157920,292520,201220,406745,35027,1058405,35027,Etobicoke Centre,15%,28%,19%,38%
Etobicoke North,265175,352200,200650,235455,35029,1053480,35029,Etobicoke North,25%,33%,19%,22%
Etobicoke--Lakeshore,157075,296395,257170,530355,35028,1240995,35028,Etobicoke--Lakeshore,13%,24%,21%,43%
Flamborough--Glanbrook,154465,284695,278140,234105,35030,951405,35030,Flamborough--Glanbrook,16%,30%,29%,25%
Fleetwood--Port Kells,189515,362620,192580,280665,59012,1025380,59012,Fleetwood--Port Kells,18%,35%,19%,27%
Foothills,161730,299130,220415,210120,48022,891395,48022,Foothills,18%,34%,25%,24%
Fort McMurray--Cold Lake,166765,318715,253095,187575,48023,926150,48023,Fort McMurray--Cold Lake,18%,34%,27%,20%
Fredericton,102430,239630,157300,249175,13003,748535,13003,Fredericton,14%,32%,21%,33%
Fundy Royal,124010,240080,187590,126660,13004,678340,13004,Fundy Royal,18%,35%,28%,19%
Gaspésie--Les Îles-de-la-Madeleine,217410,140145,126990,77135,24026,561680,24026,Gaspésie--Les Îles-de-la-Madeleine,39%,25%,23%,14%
Gatineau,222580,251735,191875,181405,24027,847595,24027,Gatineau,26%,30%,23%,21%
Glengarry--Prescott--Russell,187255,321795,261110,161370,35031,931530,35031,Glengarry--Prescott--Russell,20%,35%,28%,17%
Grande Prairie--Mackenzie,255075,344610,216235,132750,48024,948670,48024,Grande Prairie--Mackenzie,27%,36%,23%,14%
Guelph,190160,361435,258335,397120,35032,1207050,35032,Guelph,16%,30%,21%,33%
Haldimand--Norfolk,222865,323215,268340,111030,35033,925450,35033,Haldimand--Norfolk,24%,35%,29%,12%
Haliburton--Kawartha Lakes--Brock,208000,341160,285145,128180,35034,962485,35034,Haliburton--Kawartha Lakes--Brock,22%,35%,30%,13%
Halifax,105820,238190,148175,428415,12005,920600,12005,Halifax,11%,26%,16%,47%
Halifax West,111990,224175,190805,343080,12006,870050,12006,Halifax West,13%,26%,22%,39%
Hamilton Centre,233775,281485,205330,216930,35035,937520,35035,Hamilton Centre,25%,30%,22%,23%
Hamilton East--Stoney Creek,238065,332225,236180,156660,35036,963130,35036,Hamilton East--Stoney Creek,25%,34%,25%,16%
Hamilton Mountain,200220,316105,264190,158245,35037,938760,35037,Hamilton Mountain,21%,34%,28%,17%
Hamilton West--Ancaster--Dundas,134665,268725,230580,358305,35038,992275,35038,Hamilton West--Ancaster--Dundas,14%,27%,23%,36%
Hastings--Lennox and Addington,174985,267745,248085,104765,35039,795580,35039,Hastings--Lennox and Addington,22%,34%,31%,13%
Hochelaga,184530,206115,195340,320265,24028,906250,24028,Hochelaga,20%,23%,22%,35%
Honoré-Mercier,199330,228710,176180,176260,24029,780480,24029,Honoré-Mercier,26%,29%,23%,23%
Hull--Aylmer,166645,217445,186010,327965,24030,898065,24030,Hull--Aylmer,19%,24%,21%,37%
Humber River--Black Creek,311515,322145,168980,161270,35121,963910,35121,Humber River--Black Creek,32%,33%,18%,17%
Huron--Bruce,207270,275150,260970,136400,35040,879790,35040,Huron--Bruce,24%,31%,30%,16%
Joliette,238155,227235,156980,120760,24031,743130,24031,Joliette,32%,31%,21%,16%
Jonquière,140310,153750,185135,117110,24032,596305,24032,Jonquière,24%,26%,31%,20%
Kamloops--Thompson--Cariboo,193575,384805,220560,197745,59013,996685,59013,Kamloops--Thompson--Cariboo,19%,39%,22%,20%
Kanata--Carleton,107455,234255,245940,402185,35041,989835,35041,Kanata--Carleton,11%,24%,25%,41%
Kelowna--Lake Country,159880,366780,264090,224930,59014,1015680,59014,Kelowna--Lake Country,16%,36%,26%,22%
Kenora,192475,143485,111850,65730,35042,513540,35042,Kenora,37%,28%,22%,13%
Kildonan--St. Paul,132895,252755,162160,180115,46006,727925,46006,Kildonan--St. Paul,18%,35%,22%,25%
Kings--Hants,158010,211075,194500,140315,12007,703900,12007,Kings--Hants,22%,30%,28%,20%
Kingston and the Islands,145915,315650,275735,337325,35044,1074625,35044,Kingston and the Islands,14%,29%,26%,31%
King--Vaughan,188945,320250,232560,401020,35043,1142775,35043,King--Vaughan,17%,28%,20%,35%
Kitchener Centre,199470,299990,225345,253685,35045,978490,35045,Kitchener Centre,20%,31%,23%,26%
Kitchener South--Hespeler,167565,303215,251900,216315,35047,938995,35047,Kitchener South--Hespeler,18%,32%,27%,23%
Kitchener--Conestoga,189120,247470,207885,204225,35046,848700,35046,Kitchener--Conestoga,22%,29%,24%,24%
Kootenay--Columbia,163480,317530,241855,181310,59015,904175,59015,Kootenay--Columbia,18%,35%,27%,20%
La Pointe-de-l'Île,216015,239550,169590,171840,24033,796995,24033,La Pointe-de-l'Île,27%,30%,21%,22%
La Prairie,163640,224065,189405,218085,24034,795195,24034,La Prairie,21%,28%,24%,27%
Labrador,65050,57495,67635,28960,10004,219140,10004,Labrador,30%,26%,31%,13%
Lac-Saint-Jean,218430,177935,173210,107545,24035,677120,24035,Lac-Saint-Jean,32%,26%,26%,16%
Lac-Saint-Louis,100130,214110,206850,395545,24036,916635,24036,Lac-Saint-Louis,11%,23%,23%,43%
Lakeland,227205,286025,207700,113650,48025,834580,48025,Lakeland,27%,34%,25%,14%
Lambton--Kent--Middlesex,197905,285520,266980,132915,35048,883320,35048,Lambton--Kent--Middlesex,22%,32%,30%,15%
Lanark--Frontenac--Kingston,153240,281915,278670,153175,35049,867000,35049,Lanark--Frontenac--Kingston,18%,33%,32%,18%
Langley--Aldergrove,157385,372155,209670,212595,59016,951805,59016,Langley--Aldergrove,17%,39%,22%,22%
LaSalle--Émard--Verdun,186685,231620,182115,310500,24037,910920,24037,LaSalle--Émard--Verdun,20%,25%,20%,34%
Laurentides--Labelle,236930,234695,179505,161735,24038,812865,24038,Laurentides--Labelle,29%,29%,22%,20%
Laurier--Sainte-Marie,109240,182425,198250,614515,24039,1104430,24039,Laurier--Sainte-Marie,10%,17%,18%,56%
Laval--Les Îles,188100,232830,188355,232525,24040,841810,24040,Laval--Les Îles,22%,28%,22%,28%
Leeds-Grenville-Thousand Islands and Rideau Lakes,163690,290605,273550,140995,35050,868840,35050,Leeds-Grenville-Thousand Islands and Rideau Lakes,19%,33%,31%,16%
Lethbridge,190725,341475,234805,214720,48026,981725,48026,Lethbridge,19%,35%,24%,22%
Lévis--Lotbinière,151290,202540,233015,214740,24042,801585,24042,Lévis--Lotbinière,19%,25%,29%,27%
London North Centre,170460,333800,262310,421900,35052,1188470,35052,London North Centre,14%,28%,22%,35%
London West,149440,307855,293395,391450,35053,1142140,35053,London West,13%,27%,26%,34%
London--Fanshawe,245935,369950,302190,150140,35051,1068215,35051,London--Fanshawe,23%,35%,28%,14%
Long Range Mountains,223315,213065,194010,94600,10005,724990,10005,Long Range Mountains,31%,29%,27%,13%
Longueuil--Charles-LeMoyne,228970,239665,176390,190550,24041,835575,24041,Longueuil--Charles-LeMoyne,27%,29%,21%,23%
Longueuil--Saint-Hubert,182975,217715,189755,245250,24043,835695,24043,Longueuil--Saint-Hubert,22%,26%,23%,29%
Louis-Hébert,74710,160160,214990,420660,24044,870520,24044,Louis-Hébert,9%,18%,25%,48%
Louis-Saint-Laurent,140045,231975,250020,256595,24045,878635,24045,Louis-Saint-Laurent,16%,26%,28%,29%
Madawaska--Restigouche,152390,154085,118405,71965,13005,496845,13005,Madawaska--Restigouche,31%,31%,24%,14%
