Prov/Terr,FED ID,Federal Electoral Districts_x,Total_x,Total Income_x,Total_y,Total Income_y,Province,Federal Electoral Districts_y,Population,Electors,Polling Stations,Valid Ballots,Percentage of Valid Ballots,Rejected Ballots,Percentage of Rejected Ballots,Total Ballots Cast,Percentage of Voter Turnout,Party Won
35,35118.0,York Centre,39540,1905313000.0,46250,1648056000,Ontario,York Centre,100277,65832,194,42944,99.3,319,0.7,43263,65.7,Liberal
35,35119.0,York--Simcoe,40360,2286148000.0,41570,1618172000,Ontario,York--Simcoe,94616,76055,205,47879,99.5,232,0.5,48111,63.3,Conservative
35,35120.0,York South--Weston,42910,1631773000.0,48350,1393265000,Ontario,York South--Weston,116606,72097,189,43706,99.2,362,0.8,44068,61.1,Liberal
35,35121.0,Humber River--Black Creek,41300,1328322000.0,45640,1087810000,Ontario,Humber River--Black Creek,108198,62928,184,35859,99.1,333,0.9,36192,57.5,Liberal
46,46001.0,Brandon--Souris,33270,1692472000.0,35270,1264832000,Manitoba,Brandon--Souris,83814,61327,192,41106,99.6,150,0.4,41256,67.3,Conservative
46,46002.0,Charleswood--St. James--Assiniboia--Headingley,30990,1902912000.0,34440,1495320000,Manitoba,Charleswood--St. James--Assiniboia--Headingley,81864,64081,177,47157,99.6,195,0.4,47352,73.9,Liberal
46,46003.0,Churchill--Keewatinook Aski,28170,874286000.0,27950,552492000,Manitoba,Churchill--Keewatinook Aski,85148,51994,147,29944,99.2,252,0.8,30196,58.1,NDP
46,46004.0,Dauphin--Swan River--Neepawa,32880,1405691000.0,33060,1043883000,Manitoba,Dauphin--Swan River--Neepawa,87374,63926,263,41598,99.6,160,0.4,41758,65.3,Conservative
46,46005.0,Elmwood--Transcona,34650,1617439000.0,37150,1265613000,Manitoba,Elmwood--Transcona,85906,65961,185,43086,99.6,182,0.4,43268,65.6,NDP
46,46006.0,Kildonan--St. Paul,32050,1786245000.0,35840,1434810000,Manitoba,Kildonan--St. Paul,81794,62299,193,43875,99.6,161,0.4,44036,70.7,Liberal
46,46007.0,Portage--Lisgar,34310,1684255000.0,35300,1132561000,Manitoba,Portage--Lisgar,91019,63180,204,41187,99.6,159,0.4,41346,65.4,Conservative
46,46008.0,Provencher,38440,2000634000.0,37950,1268599000,Manitoba,Provencher,88640,66108,177,44745,99.6,169,0.4,44914,67.9,Conservative
46,46009.0,Saint Boniface--Saint Vital,33820,1934737000.0,37380,1563219000,Manitoba,Saint Boniface--Saint Vital,84353,66205,196,48823,99.7,152,0.3,48975,74.0,Liberal
46,46010.0,Selkirk--Interlake--Eastman,37430,1899989000.0,38120,1333306000,Manitoba,Selkirk--Interlake--Eastman,91463,72259,271,49363,99.6,216,0.4,49579,68.6,Conservative
46,46011.0,Winnipeg Centre,34660,1220584000.0,34460,980062000,Manitoba,Winnipeg Centre,82026,56988,162,33885,99.2,281,0.8,34166,60.0,Liberal
46,46012.0,Winnipeg North,35830,1273650000.0,37480,1053453000,Manitoba,Winnipeg North,88616,58573,160,33964,99.2,269,0.8,34233,58.4,Liberal
46,46013.0,Winnipeg South,39650,2179699000.0,40970,1644419000,Manitoba,Winnipeg South,85540,64595,179,48199,99.6,203,0.4,48402,74.9,Liberal
46,46014.0,Winnipeg South Centre,34730,2486750000.0,38940,1955080000,Manitoba,Winnipeg South Centre,90711,70487,198,53571,99.7,188,0.3,53759,76.3,Liberal
47,47001.0,Battlefords--Lloydminster,27420,1434302000.0,27850,958442000,Saskatchewan,Battlefords--Lloydminster,70034,50917,137,33678,99.5,186,0.5,33864,66.5,Conservative
47,47002.0,Cypress Hills--Grasslands,27240,1545129000.0,27540,1066025000,Saskatchewan,Cypress Hills--Grasslands,67834,50874,181,36207,99.7,99,0.3,36306,71.4,Conservative
47,47003.0,Desnethé--Missinippi--Churchill River,24030,803162000.0,24360,558327000,Saskatchewan,Desnethé--Missinippi--Churchill River,69471,46824,179,30213,99.7,91,0.3,30304,64.7,NDP
47,47004.0,Carlton Trail--Eagle Creek,29550,1749247000.0,29170,1070083000,Saskatchewan,Carlton Trail--Eagle Creek,72607,56074,182,40179,99.7,109,0.3,40288,71.8,Conservative
47,47005.0,Moose Jaw--Lake Centre--Lanigan,30100,1826431000.0,30530,1201232000,Saskatchewan,Moose Jaw--Lake Centre--Lanigan,76106,58335,180,41965,99.7,142,0.3,42107,72.2,Conservative
47,47006.0,Prince Albert,30760,1541841000.0,33250,1178793000,Saskatchewan,Prince Albert,79344,57794,177,39510,99.7,103,0.3,39613,68.5,Conservative
47,47007.0,Regina--Lewvan,34910,2267132000.0,37250,1764883000,Saskatchewan,Regina--Lewvan,79587,64325,172,47834,99.6,181,0.4,48015,74.6,NDP
47,47008.0,Regina--Qu'Appelle,28060,1415713000.0,28600,1040752000,Saskatchewan,Regina--Qu'Appelle,72891,54240,172,36883,99.6,152,0.4,37035,68.3,Conservative
47,47009.0,Regina--Wascana,32830,2104561000.0,34200,1583247000,Saskatchewan,Regina--Wascana,77208,57504,171,42723,99.6,176,0.4,42899,74.6,Liberal
47,47010.0,Saskatoon--Grasswood,31960,2170737000.0,35160,1612178000,Saskatchewan,Saskatoon--Grasswood,72010,59665,178,46086,99.7,137,0.3,46223,77.5,Conservative
47,47011.0,Saskatoon--University,30500,2089512000.0,32440,1504606000,Saskatchewan,Saskatoon--University,76257,58394,152,44773,99.7,130,0.3,44903,76.9,Conservative
47,47012.0,Saskatoon West,32490,1597628000.0,33820,1172131000,Saskatchewan,Saskatoon West,76704,57021,149,37715,99.6,170,0.4,37885,66.4,NDP
47,47013.0,Souris--Moose Mountain,29850,1920551000.0,29250,1128594000,Saskatchewan,Souris--Moose Mountain,72058,52963,187,37516,99.7,126,0.3,37642,71.1,Conservative
47,47014.0,Yorkton--Melville,27540,1420181000.0,27830,951598000,Saskatchewan,Yorkton--Melville,71270,54475,202,36613,99.7,95,0.3,36708,67.4,Conservative
48,48001.0,Banff--Airdrie,52690,4292695000.0,53850,2522513000,Alberta,Banff--Airdrie,105442,93079,235,66638,99.7,179,0.3,66817,71.8,Conservative
48,48002.0,Battle River--Crowfoot,47510,2867263000.0,48040,1784246000,Alberta,Battle River--Crowfoot,107140,81746,249,58769,99.7,160,0.3,58929,72.1,Conservative
48,48003.0,Bow River,43900,2724267000.0,43390,1647923000,Alberta,Bow River,103871,76093,208,49988,99.7,151,0.3,50139,65.9,Conservative
48,48004.0,Calgary Centre,48800,5415017000.0,46870,3053116000,Alberta,Calgary Centre,108931,87697,215,61249,99.6,227,0.4,61476,70.1,Liberal
48,48005.0,Calgary Confederation,44280,3806319000.0,46820,2625820000,Alberta,Calgary Confederation,111785,91061,231,66808,99.7,216,0.3,67024,73.6,Conservative
48,48006.0,Calgary Forest Lawn,42850,1806756000.0,41940,1264949000,Alberta,Calgary Forest Lawn,108251,75336,201,41047,99.2,345,0.8,41392,54.9,Conservative
48,48007.0,Calgary Heritage,41840,3333899000.0,45210,2241818000,Alberta,Calgary Heritage,108320,80767,202,58430,99.6,228,0.4,58658,72.6,Conservative
48,48008.0,Calgary Midnapore,47030,3686797000.0,49520,2333259000,Alberta,Calgary Midnapore,111227,87848,224,63562,99.7,179,0.3,63741,72.6,Conservative
48,48009.0,Calgary Nose Hill,43240,2834647000.0,45690,1990456000,Alberta,Calgary Nose Hill,109286,82243,206,54562,99.5,255,0.5,54817,66.7,Conservative
48,48010.0,Calgary Rocky Ridge,47810,3809814000.0,51120,2491169000,Alberta,Calgary Rocky Ridge,108901,88007,219,63292,99.7,167,0.3,63459,72.1,Conservative
48,48011.0,Calgary Shepard,53850,4234816000.0,54530,2567087000,Alberta,Calgary Shepard,110296,98085,244,66351,99.7,208,0.3,66559,67.9,Conservative
48,48012.0,Calgary Signal Hill,42790,4231670000.0,47130,2683607000,Alberta,Calgary Signal Hill,109647,85530,223,62519,99.7,189,0.3,62708,73.3,Conservative
48,48013.0,Calgary Skyview,51260,2289834000.0,51380,1566750000,Alberta,Calgary Skyview,110189,74604,181,44993,99.3,310,0.7,45303,60.7,Liberal
48,48014.0,Edmonton Centre,43060,2792515000.0,42340,1993562000,Alberta,Edmonton Centre,106121,80173,202,53512,99.6,234,0.4,53746,67.0,Liberal
48,48015.0,Edmonton Griesbach,45140,2111246000.0,43280,1419835000,Alberta,Edmonton Griesbach,107809,81625,219,47942,99.4,289,0.6,48231,59.1,Conservative
48,48016.0,Edmonton Manning,44590,2585568000.0,46890,1762076000,Alberta,Edmonton Manning,106262,81361,185,49001,99.6,185,0.4,49186,60.5,Conservative
48,48017.0,Edmonton Mill Woods,44730,2375444000.0,45420,1573608000,Alberta,Edmonton Mill Woods,106103,74651,191,49517,99.5,227,0.5,49744,66.6,Liberal
48,48018.0,Edmonton Riverbend,44720,3752219000.0,47690,2475320000,Alberta,Edmonton Riverbend,106302,82290,203,57740,99.7,178,0.3,57918,70.4,Conservative
48,48019.0,Edmonton Strathcona,39430,2654605000.0,40120,1911357000,Alberta,Edmonton Strathcona,103183,78635,205,55604,99.6,217,0.4,55821,71.0,NDP
48,48020.0,Edmonton West,44750,2980524000.0,48010,2097273000,Alberta,Edmonton West,104422,81144,207,53457,99.6,233,0.4,53690,66.2,Conservative
48,48021.0,Edmonton--Wetaskiwin,60490,4208363000.0,61980,2488177000,Alberta,Edmonton--Wetaskiwin,110644,100871,262,68344,99.7,197,0.3,68541,67.9,Conservative
48,48022.0,Foothills,40860,3520350000.0,42090,1904252000,Alberta,Foothills,105515,83675,232,60986,99.8,141,0.2,61127,73.1,Conservative
48,48023.0,Fort McMurray--Cold Lake,42750,4358376000.0,37340,1744132000,Alberta,Fort McMurray--Cold Lake,101538,77960,224,47266,99.7,158,0.3,47424,60.8,Conservative
48,48024.0,Grande Prairie--Mackenzie,44880,3191912000.0,43200,1695725000,Alberta,Grande Prairie--Mackenzie,106738,82665,208,53343,99.7,158,0.3,53501,64.7,Conservative
48,48025.0,Lakeland,43490,2710662000.0,43120,1588072000,Alberta,Lakeland,104616,79721,233,54779,99.7,155,0.3,54934,68.9,Conservative
48,48026.0,Lethbridge,43350,2498198000.0,45470,1774507000,Alberta,Lethbridge,105999,84335,236,56943,99.7,158,0.3,57101,67.7,Conservative
48,48027.0,Medicine Hat--Cardston--Warner,40300,2276955000.0,42570,1483515000,Alberta,Medicine Hat--Cardston--Warner,102847,77892,220,50650,99.8,118,0.2,50768,65.2,Conservative
48,48028.0,Peace River--Westlock,40560,2371625000.0,39450,1314906000,Alberta,Peace River--Westlock,108095,77515,227,49519,99.7,170,0.3,49689,64.1,Conservative
48,48029.0,Red Deer--Mountain View,41790,2841838000.0,43450,1786256000,Alberta,Red Deer--Mountain View,110793,88322,236,62212,99.8,135,0.2,62347,70.6,Conservative
48,48030.0,Red Deer--Lacombe,45610,2963638000.0,46360,1760666000,Alberta,Red Deer--Lacombe,113693,89092,237,61662,99.7,176,0.3,61838,69.4,Conservative
48,48031.0,St. Albert--Edmonton,44410,3320268000.0,47420,2185661000,Alberta,St. Albert--Edmonton,105162,85187,221,59208,99.8,146,0.2,59354,69.7,Conservative
48,48032.0,Sherwood Park--Fort Saskatchewan,46620,4120761000.0,47710,2370652000,Alberta,Sherwood Park--Fort Saskatchewan,111541,90289,266,66686,99.7,180,0.3,66866,74.1,Conservative
48,48033.0,Sturgeon River--Parkland,50440,3834000000.0,49890,2064798000,Alberta,Sturgeon River--Parkland,105733,86994,238,61537,99.7,157,0.3,61694,70.9,Conservative
48,48034.0,Yellowhead,35790,2367657000.0,34300,1217472000,Alberta,Yellowhead,98855,76011,245,52525,99.7,161,0.3,52686,69.3,Conservative
59,59001.0,Abbotsford,39350,1980767000.0,41610,1371642000,British Columba,Abbotsford,96819,69299,181,48124,99.6,202,0.4,48326,69.7,Conservative
59,59002.0,Burnaby North--Seymour,39670,2482823000.0,42410,1828779000,British Columba,Burnaby North--Seymour,100632,74982,191,52480,99.5,260,0.5,52740,70.3,Liberal
59,59003.0,Burnaby South,44850,2197317000.0,49140,1690398000,British Columba,Burnaby South,105037,75950,196,45887,99.4,275,0.6,46162,60.8,NDP
59,59004.0,Cariboo--Prince George,42320,2326764000.0,42810,1447890000,British Columba,Cariboo--Prince George,108252,79517,225,53734,99.6,216,0.4,53950,67.8,Conservative
59,59005.0,Central Okanagan--Similkameen--Nicola,44870,2430921000.0,49170,1775505000,British Columba,Central Okanagan--Similkameen--Nicola,104398,87600,229,61973,99.7,191,0.3,62164,71.0,Conservative
59,59006.0,Chilliwack--Hope,38860,1984353000.0,41530,1387215000,British Columba,Chilliwack--Hope,92734,72874,196,50661,99.7,154,0.3,50815,69.7,Conservative
59,59007.0,Cloverdale--Langley City,43070,2486087000.0,46860,1734290000,British Columba,Cloverdale--Langley City,100318,78189,188,54075,99.7,186,0.3,54261,69.4,Liberal
59,59008.0,Coquitlam--Port Coquitlam,47110,2622265000.0,51310,1858422000,British Columba,Coquitlam--Port Coquitlam,110277,85122,208,56511,99.5,287,0.5,56798,66.7,Liberal
59,59009.0,Courtenay--Alberni,47120,2377611000.0,51430,1804048000,British Columba,Courtenay--Alberni,110391,92266,270,69849,99.7,185,0.3,70034,75.9,NDP
59,59010.0,Cowichan--Malahat--Langford,42450,2272773000.0,45830,1682741000,British Columba,Cowichan--Malahat--Langford,99160,81888,227,61778,99.6,230,0.4,62008,75.7,NDP
59,59011.0,Delta,40210,2477693000.0,42760,1756202000,British Columba,Delta,100588,75044,212,55689,99.6,200,0.4,55889,74.5,Liberal
59,59012.0,Fleetwood--Port Kells,44950,2105976000.0,47290,1507322000,British Columba,Fleetwood--Port Kells,109742,75150,205,48763,99.5,269,0.5,49032,65.2,Liberal
59,59013.0,Kamloops--Thompson--Cariboo,50490,2784570000.0,52600,1881146000,British Columba,Kamloops--Thompson--Cariboo,118618,95347,273,69765,99.8,174,0.2,69939,73.4,Conservative
59,59014.0,Kelowna--Lake Country,48290,2937210000.0,51040,2092146000,British Columba,Kelowna--Lake Country,110051,91131,234,64155,99.6,230,0.4,64385,70.7,Liberal
59,59015.0,Kootenay--Columbia,45190,2575679000.0,45910,1597806000,British Columba,Kootenay--Columbia,107589,86895,260,63206,99.7,197,0.3,63403,73.0,NDP
59,59016.0,Langley--Aldergrove,45170,2898403000.0,47950,1956643000,British Columba,Langley--Aldergrove,103084,83065,209,59896,99.7,204,0.3,60100,72.4,Conservative
59,59017.0,Mission--Matsqui--Fraser Canyon,37130,1754794000.0,37810,1137874000,British Columba,Mission--Matsqui--Fraser Canyon,90871,63744,187,44651,99.5,209,0.5,44860,70.4,Liberal
59,59018.0,Nanaimo--Ladysmith,48130,2463880000.0,52650,1926626000,British Columba,Nanaimo--Ladysmith,114998,95200,252,71241,99.8,158,0.2,71399,75.0,NDP
59,59019.0,New Westminster--Burnaby,44580,2238959000.0,48130,1779926000,British Columba,New Westminster--Burnaby,108652,80394,197,52642,99.3,363,0.7,53005,65.9,NDP
59,59020.0,North Okanagan--Shuswap,51110,2653204000.0,54970,1886752000,British Columba,North Okanagan--Shuswap,121474,97554,275,69954,99.8,152,0.2,70106,71.9,Conservative
59,59021.0,North Vancouver,44120,3279297000.0,49390,2394773000,British Columba,North Vancouver,109639,85219,207,64354,99.7,218,0.3,64572,75.8,Liberal
59,59022.0,Pitt Meadows--Maple Ridge,38340,2314622000.0,41170,1571180000,British Columba,Pitt Meadows--Maple Ridge,94111,72635,185,52150,99.8,121,0.2,52271,72.0,Liberal
59,59023.0,Port Moody--Coquitlam,42790,2638723000.0,45490,1854518000,British Columba,Port Moody--Coquitlam,108326,79555,211,54667,99.7,174,0.3,54841,68.9,NDP
59,59024.0,Prince George--Peace River--Northern Rockies,42960,2810508000.0,40880,1482842000,British Columba,Prince George--Peace River--Northern Rockies,107382,78250,230,51859,99.6,197,0.4,52056,66.5,Conservative
59,59025.0,Richmond Centre,39570,1816021000.0,45250,1529459000,British Columba,Richmond Centre,93863,69678,175,39862,99.4,227,0.6,40089,57.5,Conservative
59,59026.0,Esquimalt--Saanich--Sooke,46030,2481720000.0,49440,1970149000,British Columba,Esquimalt--Saanich--Sooke,113004,91056,227,68081,99.7,199,0.3,68280,75.0,NDP
59,59027.0,Saanich--Gulf Islands,42250,2626548000.0,47370,2183977000,British Columba,Saanich--Gulf Islands,104285,86863,238,68140,99.7,201,0.3,68341,78.7,Green Party
59,59028.0,Skeena--Bulkley Valley,34050,1742216000.0,33290,1054472000,British Columba,Skeena--Bulkley Valley,90586,64846,217,44109,99.6,157,0.4,44266,68.3,NDP
59,59029.0,South Okanagan--West Kootenay,49770,2495655000.0,52380,1797350000,British Columba,South Okanagan--West Kootenay,112096,91999,274,66594,99.7,216,0.3,66810,72.6,NDP
59,59030.0,South Surrey--White Rock,39530,2967419000.0,45570,2169221000,British Columba,South Surrey--White Rock,94678,76833,207,56631,99.6,219,0.4,56850,74.0,Conservative
59,59031.0,Steveston--Richmond East,40250,1911612000.0,44610,1527195000,British Columba,Steveston--Richmond East,96610,72225,186,43225,99.3,287,0.7,43512,60.2,Liberal
59,59032.0,Surrey Centre,48680,1784120000.0,47030,1202726000,British Columba,Surrey Centre,111486,71966,176,43198,99.2,352,0.8,43550,60.5,Liberal
59,59033.0,Surrey--Newton,44410,1752180000.0,46190,1216437000,British Columba,Surrey--Newton,105183,65954,164,44424,99.3,328,0.7,44752,67.9,Liberal
59,59034.0,Vancouver Centre,54350,4580180000.0,52490,2854738000,British Columba,Vancouver Centre,102480,88470,217,58048,99.6,247,0.4,58295,65.9,Liberal
59,59035.0,Vancouver East,47690,2334540000.0,47570,1835432000,British Columba,Vancouver East,110097,89324,226,58708,99.3,405,0.7,59113,66.2,NDP
59,59036.0,Vancouver Granville,39770,3172274000.0,46580,2593432000,British Columba,Vancouver Granville,99886,80488,204,53824,99.7,186,0.3,54010,67.1,Liberal
59,59037.0,North Island--Powell River,42500,2228229000.0,44070,1512269000,British Columba,North Island--Powell River,103458,81377,276,60536,99.7,177,0.3,60713,74.6,NDP
59,59038.0,Vancouver Kingsway,40470,1777388000.0,44390,1503610000,British Columba,Vancouver Kingsway,102003,72438,180,45396,99.0,471,1.0,45867,63.3,NDP
59,59039.0,Vancouver Quadra,37420,3414093000.0,43800,2578605000,British Columba,Vancouver Quadra,102416,76038,198,52972,99.7,144,0.3,53116,69.9,Liberal
59,59040.0,Vancouver South,39970,1695200000.0,44530,1472797000,British Columba,Vancouver South,100966,70992,184,44611,99.4,259,0.6,44870,63.2,Liberal
59,59041.0,Victoria,45130,2806408000.0,51740,2463542000,British Columba,Victoria,110942,94627,251,71895,99.7,241,0.3,72136,76.2,NDP
59,59042.0,West Vancouver--Sunshine Coast--Sea to Sky Country,47470,3874496000.0,51380,2611750000,British Columba,West Vancouver--Sunshine Coast--Sea to Sky Country,112875,90554,244,66458,99.7,173,0.3,66631,73.6,Liberal
60,60001.0,Yukon,14260,841179000.0,14450,729651000,Yukon,Yukon,33897,26879,82,20291,99.5,94,0.5,20385,75.8,Liberal
61,61001.0,Northwest Territories,16310,1065921000.0,15570,824421000,Northwest Territories,Northwest Territories,41462,30110,91,18973,99.5,104,0.5,19077,63.4,Liberal
62,62001.0,Nunavut,10780,554056000.0,10660,485793000,Nunavut,Nunavut,31906,20252,59,11928,99.2,95,0.8,12023,59.4,Liberal
