Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 to $249,999","$250,000 and over"
10,10001,Avalon,35410,2129874000,1780,1450,1920,2910,2050,1810,1850,1860,1860,1690,1490,1400,2470,2030,1590,1410,3800,1730,330
10,10002,Bonavista--Burin--Trinity,32200,1564974000,1570,1470,2180,3920,2480,2160,2130,1970,1760,1610,1270,1090,1730,1290,1010,900,2550,990,140
10,10003,Coast of Bays--Central--Notre Dame,31830,1506208000,1670,1470,2270,3770,2270,2050,2140,2000,1920,1670,1310,1220,1920,1250,1010,860,2040,850,150
10,10004,Labrador,10510,755063000,710,420,460,490,360,460,440,430,350,370,370,360,580,530,560,540,2290,730,70
10,10005,Long Range Mountains,37670,1729013000,2160,1880,2690,4350,2700,2530,2590,2400,2180,1990,1580,1420,2200,1630,1240,1030,2190,740,180
10,10006,St. John's East,32300,2121325000,2320,1790,2050,2240,1620,1540,1470,1480,1520,1390,1190,1170,2100,1830,1500,1280,3300,1780,750
10,10007,St. John's South--Mount Pearl,31420,1739870000,2000,1810,2110,2400,1870,1720,1720,1780,1640,1640,1380,1280,2080,1680,1290,1000,2530,1130,360
TOTAL,,,211330,11546327000,12210,10300,13680,20070,13350,12260,12330,11910,11230,10370,8580,7940,13060,10250,8180,7010,18690,7950,1970
11,11001,Cardigan,14600,684481000,850,720,880,1240,1090,1070,1080,1020,930,850,710,650,960,710,460,280,730,270,100
11,11002,Charlottetown,13850,627964000,1110,900,1020,1220,1080,1010,870,850,750,690,600,530,850,620,450,300,640,260,120
11,11003,Egmont,14140,598576000,730,710,930,1430,1120,1110,1230,1210,990,840,680,510,730,540,350,240,550,170,80
11,11004,Malpeque,14120,665908000,750,690,750,1090,1000,960,990,1030,980,930,790,640,1040,730,480,320,620,230,100
TOTAL,,,56700,2576929000,3440,3020,3570,4980,4290,4150,4170,4110,3640,3300,2770,2320,3570,2590,1750,1130,2540,940,410
12,12001,Cape Breton--Canso,28830,1278942000,1860,2020,1630,2700,2410,2030,1990,1850,1630,1500,1320,1090,1830,1270,980,680,1400,530,140
12,12002,Central Nova,28870,1352088000,1840,1960,1640,2320,2310,1750,1850,1830,1710,1600,1380,1280,1920,1450,1060,780,1500,520,180
12,12003,Cumberland--Colchester,31700,1353689000,2240,2260,1980,2970,2530,2140,2060,2120,2000,1860,1490,1300,1950,1400,1020,630,1190,410,140
12,12004,Dartmouth--Cole Harbour,35120,1846899000,2310,2380,1880,2060,2020,1830,1870,1990,2010,1890,1690,1530,2730,2330,1830,1230,2460,800,270
12,12005,Halifax,34670,1926721000,3600,2810,2150,2530,2030,1780,1770,1710,1630,1550,1340,1180,2200,1810,1400,990,2290,1260,660
12,12006,Halifax West,35300,2054653000,2810,1890,1950,2020,1890,1750,1680,1850,1800,1700,1600,1420,2590,2330,1860,1400,2990,1290,490
12,12007,Kings--Hants,32350,1495419000,2180,1940,1800,2600,2430,1960,1940,2020,1960,1840,1560,1480,2380,1840,1300,860,1660,450,160
12,12008,Sackville--Preston--Chezzetcook,33600,1884827000,1830,1620,1480,1710,1710,1620,1740,1880,1960,1860,1760,1620,3110,2630,2110,1420,2570,740,240
12,12009,South Shore--St. Margarets,37950,1886609000,2080,2090,2020,3350,2900,2340,2330,2400,2230,2060,1850,1710,2650,2080,1550,1100,2140,780,310
12,12010,Sydney--Victoria,28520,1129199000,2890,2340,1720,2480,2380,2130,2000,1810,1530,1380,1140,1070,1600,1130,840,550,1100,360,100
12,12011,West Nova,34010,1421060000,2160,2240,2130,3740,2820,2250,2400,2210,1950,1770,1550,1360,2340,1580,1030,670,1320,370,140
TOTAL,,,360920,17630106000,25820,23520,20380,28480,25430,21570,21610,21660,20390,19000,16680,15030,25290,19830,14980,10300,20620,7510,2820
13,13001,Acadie--Bathurst,33750,1410982000,1570,2340,2020,4070,2500,2540,2880,2710,2170,1760,1360,1160,1710,1320,920,660,1480,480,120
13,13002,Beauséjour,34110,1562205000,1610,1820,1800,3130,2420,2490,2660,2750,2310,2080,1650,1440,2220,1550,1180,770,1530,520,190
13,13003,Fredericton,31020,1625320000,2260,1860,1650,1980,1850,1650,1570,1660,1620,1510,1510,1570,2890,1980,1390,950,2130,740,250
13,13004,Fundy Royal,31240,1656917000,1660,1780,1580,2320,2020,1760,1810,1940,1950,1800,1610,1440,2260,1680,1250,980,2220,900,290
13,13005,Madawaska--Restigouche,25560,1036183000,1330,1750,1470,2510,2110,1880,1980,2130,1880,1610,1280,930,1520,990,640,410,830,240,90
13,13006,Miramichi--Grand Lake,23780,921341000,2050,1490,1470,2500,1890,1780,1900,1700,1500,1300,1080,880,1260,920,640,380,730,250,60
13,13007,Moncton--Riverview--Dieppe,35420,1661007000,2140,2570,2040,2670,2630,2350,2350,2410,2310,2020,1600,1470,2270,1740,1210,890,1840,700,230
13,13008,New Brunswick Southwest,26300,1303435000,1430,1550,1370,2010,1740,1620,1580,1720,1590,1500,1350,1210,2050,1450,980,720,1670,620,150
13,13009,Saint John--Rothesay,30220,1513139000,2130,2440,1770,2400,2180,1820,1780,1900,1680,1500,1320,1170,1950,1430,1080,800,1830,750,290
13,13010,Tobique--Mactaquac,27300,1203876000,1860,1750,1670,2460,2000,1760,1890,2040,1900,1710,1360,1170,1710,1110,760,560,1120,350,140
TOTAL,,,298710,13894406000,18040,19350,16840,26050,21320,19640,20410,20950,18900,16770,14110,12430,19840,14170,10040,7130,15380,5540,1800
24,24001,Abitibi--Baie-James--Nunavik--Eeyou,31320,1563287000,4710,1680,1840,2180,1750,1430,1360,1360,1400,1310,1230,1190,2160,1670,1270,1020,2650,830,270
24,24002,Abitibi--Témiscamingue,42100,2233822000,1890,2070,2560,3560,2840,2240,2270,2330,2390,2300,2100,1900,3180,2390,1820,1410,3630,920,320
24,24003,Ahuntsic-Cartierville,42460,1981204000,3820,3420,4050,4020,3080,2790,2460,2310,2010,1740,1530,1350,2150,1720,1320,990,2200,1010,510
24,24004,Alfred-Pellan,38600,2060286000,2560,2100,2660,2720,2670,2210,2110,2330,2230,2090,1740,1670,2680,2170,1660,1120,2410,960,530
24,24005,Argenteuil--La Petite-Nation,38780,1731887000,1920,2430,2960,3850,2950,2430,2490,2600,2360,2130,1930,1640,2630,2020,1390,880,1480,490,230
24,24006,Avignon--La Mitis--Matane--Matapédia,30090,1158352000,1670,1690,2450,3970,2440,2080,2140,2290,1900,1750,1430,1140,1700,1110,730,470,830,210,90
24,24007,Beauce,44430,1995058000,1520,1920,2970,3890,3290,2760,3040,3530,3530,3320,2800,2310,3280,2270,1230,760,1280,470,250
24,24008,Beauport--Limoilou,36650,1537326000,1600,2370,3150,3300,2780,2520,2580,2800,2390,2090,1890,1560,2380,1800,1110,660,1160,370,150
24,24009,Bécancour--Nicolet--Saurel,38720,1784891000,1580,2140,2780,3800,2890,2560,2630,2770,2540,2230,1800,1540,2390,2020,1440,1010,1830,550,220
24,24010,Bellechasse--Les Etchemins--Lévis,46630,2257774000,1640,1950,2790,3810,3340,2810,3120,3250,3400,3180,2930,2390,3660,2620,1660,1090,2000,700,310
24,24011,Beloeil--Chambly,45310,2761591000,1790,1830,2360,2680,2390,2110,2330,2460,2600,2580,2300,2200,3840,3280,2660,1890,3990,1400,620
24,24012,Berthier--Maskinongé,43620,1874082000,1800,2560,3250,4650,3540,2910,3150,3180,2860,2670,2130,1690,2780,2020,1330,830,1570,480,220
24,24013,Thérèse-De Blainville,38800,2522802000,1960,1920,2260,2340,2150,1890,1850,2120,2060,1930,1770,1680,2840,2550,2020,1530,3430,1600,890
24,24014,Pierre-Boucher--Les Patriotes--Verchères,39870,2726803000,1700,1540,1930,2170,1930,1800,1720,2140,2170,2160,1940,1900,3380,2990,2340,1710,4010,1470,890
24,24015,Bourassa,35700,1166599000,3160,3470,3800,4040,3280,2830,2570,2410,1950,1580,1220,970,1450,980,620,420,660,200,70
24,24016,Brome--Missisquoi,42670,2120244000,1760,2390,3060,4100,3570,2800,2790,2820,2720,2460,2060,1890,2740,1950,1380,890,1940,860,500
24,24017,Brossard--Saint-Lambert,40880,2553219000,3260,2270,3040,2980,2480,2100,1970,2070,1870,1780,1640,1520,2580,2200,1720,1370,3370,1620,1040
24,24018,Rimouski-Neigette--Témiscouata--Les Basques,34800,1513577000,1500,1720,2550,3620,2770,2500,2360,2600,2430,2130,1840,1450,2180,1560,1030,680,1300,390,190
24,24019,Charlesbourg--Haute-Saint-Charles,41730,2093534000,1550,1650,2360,2720,2450,2240,2530,2920,2810,2750,2640,2290,3890,2950,2010,1230,2030,520,200
24,24020,Beauport--Côte-de-Beaupré--Île d’Orléans--Charlevoix,39230,1945982000,1410,1530,2500,3370,2570,2380,2550,2830,2650,2620,2240,1800,3050,2350,1500,1030,1890,670,300
24,24021,Châteauguay--Lacolle,40800,1885205000,2070,2100,3350,3680,2940,2390,2390,2620,2500,2300,1970,1800,2990,2360,1640,1080,1830,550,230
24,24022,Chicoutimi--Le Fjord,33280,1663880000,1320,1800,2160,2770,2160,1860,2070,2260,2160,2040,1900,1520,2520,1720,1100,910,2150,600,270
24,24023,Compton--Stanstead,42140,1959435000,1940,2160,2860,3820,3100,2720,2840,3000,2840,2610,2250,1940,2910,2090,1490,960,1740,580,310
24,24024,Dorval--Lachine--LaSalle,42120,1855964000,3590,3120,3650,3680,2980,2800,2720,2640,2380,2120,1700,1520,2340,1730,1300,900,1920,690,350
24,24025,Drummond,41260,1786120000,1790,2390,3020,4060,3210,2770,2940,3160,2950,2640,2200,1790,2690,1800,1170,710,1270,460,260
24,24026,Gaspésie--Les Îles-de-la-Madeleine,32670,1291522000,1490,1860,2680,4100,2480,2370,2880,2690,2160,1810,1430,1090,1610,1180,810,530,1110,300,110
24,24027,Gatineau,39650,1925847000,2020,2230,2830,2770,2440,2180,2220,2410,2330,2220,2100,1940,3330,2430,1980,1270,2310,500,140
24,24028,Hochelaga,41300,1694269000,2920,3680,3910,3780,3040,2630,2520,2610,2280,2010,1800,1490,2290,1840,1300,870,1640,510,190
24,24029,Honoré-Mercier,37970,1653158000,2800,2360,2940,3460,2980,2560,2530,2480,2250,1980,1730,1470,2230,1750,1150,770,1750,540,240
24,24030,Hull--Aylmer,37110,1907451000,2590,2510,2950,2560,2060,1920,1760,1920,1780,1780,1640,1570,2680,2100,1870,1420,2920,810,280
24,24031,Joliette,42930,1817079000,2550,2810,3430,4450,3510,2800,2710,2940,2680,2480,1910,1610,2710,2060,1240,840,1460,490,260
24,24032,Jonquière,36660,1852569000,1360,1860,2180,2620,2090,1930,2170,2450,2470,2600,2340,1900,2820,1990,1290,1200,2590,570,210
24,24033,La Pointe-de-l'Île,40650,1766029000,2450,2690,3250,3160,2700,2590,2640,2800,2680,2320,1990,1740,2750,2100,1450,970,1830,440,120
24,24034,La Prairie,42200,2512612000,2940,1800,2280,2550,2320,1930,2010,2220,2310,2140,2100,1890,3330,2890,2220,1680,3650,1330,600
24,24035,Lac-Saint-Jean,43650,1970327000,2050,2160,2850,4210,3090,2530,2930,3050,2960,2880,2480,2050,3080,2220,1380,1070,1980,500,190
24,24036,Lac-Saint-Louis,40460,3064029000,3540,2270,2730,2360,2090,1850,1750,1790,1710,1680,1470,1320,2290,2070,1780,1430,4280,2540,1510
24,24037,LaSalle--Émard--Verdun,40920,1675429000,3250,3270,3860,3630,2970,2570,2500,2610,2350,2060,1720,1460,2270,1830,1310,920,1700,470,190
24,24038,Laurentides--Labelle,47920,2135546000,2320,2830,3810,5360,4050,3340,3150,3340,3050,2750,2170,1750,2750,1970,1320,940,1810,790,430
24,24039,Laurier--Sainte-Marie,49940,2355967000,4260,4590,4930,4710,3060,2590,2440,2430,2320,1930,1770,1720,2840,2430,1840,1350,3000,1160,580
24,24040,Laval--Les Îles,40710,2088378000,2960,2380,3310,3770,2820,2390,2230,2260,2130,1910,1660,1500,2440,2010,1610,1170,2680,1010,480
24,24041,Longueuil--Charles-LeMoyne,41240,1656229000,2680,2900,3590,3620,3040,2740,2830,2920,2590,2310,1900,1660,2570,1930,1320,760,1430,350,100
24,24042,Lévis--Lotbinière,45630,2490577000,1590,1780,2420,2890,2610,2320,2570,2970,3070,3010,2810,2480,3980,3230,2190,1520,2860,960,390
24,24043,Longueuil--Saint-Hubert,41660,2156065000,2370,2560,2950,3170,2610,2420,2390,2590,2470,2270,2010,1730,2850,2330,1750,1220,2610,930,440
24,24044,Louis-Hébert,40290,2620148000,2540,2020,2460,2460,2050,1820,1890,2010,1990,2030,2010,1800,3040,2640,2010,1390,3430,1640,1070
24,24045,Louis-Saint-Laurent,45490,2487512000,1890,1740,2170,2620,2270,2210,2510,2900,2920,2910,2750,2650,4660,3400,2360,1590,2740,860,350
24,24046,Manicouagan,37080,1967874000,3050,1630,2010,2550,2000,1870,2120,2190,2090,1920,1700,1470,2370,1820,1520,1370,4420,850,140
24,24047,Mégantic--L'Érable,36670,1473806000,1330,1850,2670,4150,3350,2780,2740,2980,2900,2520,1970,1610,2030,1330,730,440,840,290,170
24,24048,Mirabel,46290,2412917000,2090,1950,2590,3250,2750,2540,2480,2690,2780,2680,2480,2340,3970,3440,2450,1790,3010,760,240
24,24049,Montarville,37410,2545843000,1800,1540,1930,1910,1690,1530,1600,1750,1850,1910,1820,1700,2960,2760,2310,1740,4230,1590,770
24,24050,Montcalm,43050,2023078000,1990,2230,2730,3470,2900,2550,2710,2750,2800,2560,2360,2050,3340,2730,1940,1190,2100,500,160
24,24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,39960,1677192000,1430,1900,2740,4320,3170,2890,3080,3130,3070,2840,2500,1770,2400,1560,990,590,1030,350,200
24,24052,Mount Royal,38570,2880228000,4650,2820,3460,3400,2570,2290,2020,1820,1430,1240,1130,940,1550,1310,1010,770,2330,1870,1970
24,24053,Notre-Dame-de-Grâce--Westmount,38050,3390580000,4530,2690,3100,2880,2130,1860,1660,1560,1410,1270,1090,1060,1730,1500,1160,920,2890,2200,2410
24,24054,Outremont,31620,1976431000,4440,2650,2890,2770,1970,1680,1410,1340,1220,1020,920,820,1360,1160,980,710,2010,1230,1070
24,24055,Papineau,42630,1477666000,3920,4320,4770,4980,3720,2880,2670,2390,2040,1680,1410,1160,1870,1450,980,650,1240,380,120
24,24056,Pierrefonds--Dollard,40970,2244293000,3660,2510,3280,3130,2690,2210,2260,2200,2060,1900,1590,1460,2400,1950,1470,1150,2960,1370,720
24,24057,Pontiac,43830,2287278000,2660,2520,2990,3430,2630,2120,2150,2200,2250,2180,1890,1850,3410,2700,2340,1730,3610,940,260
24,24058,Portneuf--Jacques-Cartier,46690,2673662000,1710,1820,2300,3110,2610,2360,2510,2750,2850,2840,2750,2390,4550,3480,2310,1470,3220,1130,550
24,24059,Québec,38170,1776358000,1840,2590,3230,3650,2610,2320,2480,2460,2260,2150,1870,1620,2560,1890,1280,820,1610,600,350
24,24060,Repentigny,45200,2446819000,2170,1910,2610,2800,2740,2440,2530,2730,2740,2570,2380,2150,3830,3190,2320,1710,3010,950,410
24,24061,Richmond--Arthabaska,43440,1883363000,1740,2400,3170,4550,3630,3040,2990,3120,3130,2680,2160,1890,2720,1950,1330,870,1370,470,230
24,24062,Rivière-des-Mille-Îles,39790,2180407000,2110,2040,2520,2760,2420,2030,2160,2270,2270,2190,1910,1770,3090,2600,1900,1440,2800,1090,440
24,24063,Rivière-du-Nord,44470,2052674000,1990,2580,3230,3820,3290,2790,2680,3030,2820,2590,2260,1970,3180,2510,1770,1160,1990,610,220
24,24064,Rosemont--La Petite-Patrie,41000,1880683000,2740,3170,3720,3700,2790,2380,2350,2390,2060,1860,1680,1470,2540,2040,1640,1130,2340,740,280
24,24065,Marc-Aurèle-Fortin,38240,2094593000,2420,1810,2520,2490,2100,1910,2030,2170,2160,2010,1890,1710,2860,2490,2000,1410,2900,1000,370
24,24066,Saint-Hyacinthe--Bagot,41500,1814585000,1850,2300,2950,3860,3230,2780,2870,3050,3110,2730,2190,1810,2710,1920,1310,770,1380,460,240
24,24067,Saint-Jean,43800,2136052000,1850,2230,2860,3580,2980,2650,2640,2980,2760,2680,2290,2090,3450,2540,1900,1200,2210,670,270
24,24068,Saint-Laurent,36300,1794376000,4250,2780,3520,3410,2570,2120,1910,1820,1600,1320,1150,1030,1640,1410,1090,890,2120,1070,610
24,24069,Saint-Léonard--Saint-Michel,40560,1414708000,3680,3450,4200,4280,3880,3270,2840,2680,2240,1780,1440,1140,1720,1150,790,520,980,390,150
24,24070,Saint-Maurice--Champlain,44590,1848778000,2370,2770,3330,4680,3440,2910,3030,3270,3100,2770,2330,1840,2480,1920,1300,850,1560,460,180
24,24071,Salaberry--Suroît,45880,2047466000,2440,2650,3220,4040,3400,2960,3190,3180,2920,2650,2370,1960,2980,2400,1760,1090,1960,490,220
24,24072,Shefford,45060,2042426000,1860,2580,3080,4190,3590,2870,2950,3190,3100,2840,2480,2170,3110,2110,1420,950,1670,600,310
24,24073,Sherbrooke,42440,1761236000,2940,3210,4010,4050,3320,2830,2730,2690,2480,2250,1910,1650,2380,1760,1170,730,1470,570,310
24,24074,Vaudreuil--Soulanges,45190,2713851000,2430,1980,2610,2760,2480,2250,2310,2620,2380,2400,2280,2090,3500,2960,2360,1720,3880,1520,650
24,24075,Terrebonne,42750,2297606000,2090,1950,2440,2720,2480,2150,2300,2490,2590,2400,2290,2100,3600,3120,2270,1590,2990,880,320
24,24076,Trois-Rivières,42980,1973647000,2110,2880,3420,4160,3210,2850,2820,2850,2510,2360,2030,1680,2560,1990,1330,1010,2140,760,330
24,24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,52870,3491299000,6960,4250,7300,5430,2580,2000,1780,1720,1680,1520,1410,1270,2320,2060,1700,1330,3540,2110,1930
24,24078,Vimy,42930,1804123000,3340,2900,3790,4120,3390,2810,2750,2760,2420,2190,1830,1590,2440,1850,1310,880,1760,530,260
TOTAL,,,3200980,1.6034E+11,194520,187370,237040,272360,218090,188480,190320,199390,188640,174010,152720,133030,214500,167740,121210,85030,177910,64740,33900
35,35001,Ajax,43020,2350928000,3940,2520,3190,2880,2330,1910,1830,1920,1970,2010,1740,1620,3010,2640,2120,1800,3880,1280,430
